,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,10481.38,2766.02,2863.04,8543.26,9184.03,37562.32,2446043.68,5298576.4,10992285.37,27514421.28,25280565.4,40353194.82,83217626.17,143956590.48,93128632.26,293700973.33
f_1,4336.0,10816.58,3189.98,6727.61,9533.4,36491.63,2407457.96,4172756.31,10703353.17,12712265.37,21496072.53,14909304.37,72292649.83,128103639.11,99498334.07,306244111.42
d_1,2628.31,3195.67,12735.82,4738.84,10090.39,40061.04,2845942.65,5461754.49,23824331.46,6218912.35,25889260.03,37521990.11,78316076.26,153795763.11,167927141.32,389819048.51
c_1,2719.15,2650.65,3195.78,30880.81,17765.99,39652.32,2390374.98,4313813.24,3956993.57,14201686.62,20946348.17,33609515.88,70887220.19,119003686.18,148132425.72,375757197.06
b_1,2719.65,2806.13,3403.02,5741.91,49558.57,85537.86,2535523.37,4707488.45,11439275.41,12279508.44,7592422.64,34037238.03,47339991.91,152910566.55,155752325.31,335513980.44
a_1,2746.99,2982.51,3021.39,7256.96,9075.13,298434.84,2881301.32,5397173.21,14840948.88,13965863.28,21377756.3,39256757.45,45586217.06,166045345.73,148223272.28,374402062.71
h_1,2788.88,5068.74,3937.05,8118.04,8592.25,49250.8,7211691.64,8866128.58,15885266.77,14308911.24,25809108.38,46520713.67,100935040.28,105776561.96,194262742.12,505227450.63
g_1,3276.93,2944.86,5613.26,8507.94,9055.71,43161.77,2880021.26,16190820.24,15794900.59,19025985.66,26019090.53,66925981.61,77703241.45,182087445.05,229310144.05,312387812.51
c_0,3197.55,4036.5,4592.0,5667.78,10198.06,38032.41,3369209.62,6901821.86,30274417.85,16650105.05,51038064.75,57515605.42,107674491.73,201856939.08,232506104.24,500174524.14
d_0,3489.81,3089.1,2172.36,17973.22,11543.17,36962.66,2999783.14,6564303.3,10376185.01,33767442.53,25838409.58,46267025.09,87309723.7,192365233.48,208075821.61,456716699.25
b_0,3307.29,3812.69,4434.93,8535.72,6464.08,32748.06,3936570.54,7148315.5,14616220.59,16535276.73,55657649.67,44852505.74,236108525.41,229286976.1,228815531.16,541766861.96
f_0,2735.82,2822.82,4292.28,8112.43,11484.2,48539.42,3699443.87,6496306.25,17470062.55,19344772.52,36546935.13,91108720.98,115076240.19,219921956.98,502808272.12,566897381.56
a_0,3253.58,3897.59,4392.49,7930.77,11772.68,31362.49,3515404.31,6525063.58,18352491.98,14533751.73,27662768.6,51177345.9,227003163.74,226079771.77,235930377.15,386017044.51
h_0,2922.22,5116.62,4559.8,8140.01,11328.54,36157.1,2239344.08,7698052.19,15354279.91,17076734.16,25429237.1,40251549.49,102702118.05,111860268.51,231226333.73,536598376.66
e_0,1815.53,5040.78,3904.13,8026.35,12668.82,62577.74,3686857.5,5739205.11,16247679.02,15489853.92,28797738.28,37511420.53,97058696.77,234267771.56,588772891.2,572493220.31
g_0,2579.52,3231.89,6359.68,7758.25,12551.79,34392.02,3300430.91,4805230.69,17725901.96,13028319.02,30139142.37,72584991.93,128216166.25,192970155.6,186524813.19,308001959.86
