,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.34,1.18,1.08,1.48,1.23,1.13,2.62,4.12,2.69,2.26,3.09,3.06,3.96,3.09,3.81,2.39
f_1,1.81,2.38,1.21,1.12,1.14,1.14,2.12,2.54,2.36,2.15,2.62,1.88,2.66,2.7,2.96,1.73
d_1,1.26,1.27,2.55,1.03,1.06,1.22,2.48,1.7,4.31,2.5,2.82,3.09,3.63,2.58,3.22,3.0
c_1,1.12,1.29,1.29,2.65,1.97,0.99,2.34,2.25,1.4,2.15,1.92,2.64,2.8,2.9,3.19,2.85
b_1,1.16,1.38,1.29,0.99,2.82,2.14,2.26,2.7,2.91,2.28,1.74,2.22,3.46,2.05,2.99,2.83
a_1,1.2,1.37,1.26,1.44,0.98,3.3,2.52,2.83,2.36,2.67,2.67,2.55,3.28,2.02,3.63,2.92
h_1,1.29,1.73,1.3,1.37,1.38,1.28,3.94,2.97,2.55,3.33,3.0,3.07,3.43,2.6,4.71,3.08
d_0,1.18,1.35,1.14,2.31,1.45,1.27,2.55,3.88,2.35,2.48,2.96,3.19,3.77,2.79,3.79,3.04
c_0,1.43,1.49,1.2,1.3,1.1,1.48,3.01,3.26,4.05,2.44,5.18,3.53,4.1,3.69,3.94,3.02
g_1,1.37,1.15,1.8,1.4,1.21,1.07,2.37,2.9,3.26,4.8,3.07,4.53,3.16,2.95,2.38,3.4
b_0,1.23,1.52,1.59,1.57,1.12,1.1,2.75,2.74,2.34,2.79,4.35,3.04,3.85,5.21,3.86,3.48
f_0,0.95,1.03,1.5,1.53,1.79,1.55,2.69,2.93,3.03,2.55,3.01,4.53,4.2,3.27,3.28,5.77
h_0,1.17,1.85,1.41,1.48,1.21,1.33,1.9,2.89,2.83,3.25,3.36,2.45,2.88,2.63,4.5,3.12
a_0,1.37,1.33,1.52,1.44,1.68,0.97,2.92,3.2,2.73,2.59,2.64,2.84,4.15,5.13,3.17,2.87
g_0,0.93,1.16,2.01,1.37,1.61,1.28,2.19,2.54,2.84,2.19,3.13,4.4,3.48,3.3,3.22,4.14
e_0,0.9,1.77,1.21,1.48,1.58,1.67,2.63,3.14,2.88,2.48,2.69,2.78,3.94,3.12,3.16,5.33
