,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.42,0.29,0.29,0.24,0.14,0.17,0.18,0.17,0.16,0.14,0.07,0.17,0.12,0.14,0.1
e_1,0.3,0.93,0.26,0.29,0.24,0.19,0.17,0.33,0.15,0.16,0.19,0.18,0.17,0.09,0.16,0.08
d_1,0.37,0.31,0.94,0.21,0.26,0.18,0.2,0.07,0.13,0.32,0.18,0.15,0.14,0.16,0.12,0.11
c_1,0.3,0.3,0.32,0.94,0.42,0.18,0.18,0.13,0.18,0.06,0.14,0.2,0.15,0.14,0.12,0.11
b_1,0.32,0.31,0.27,0.28,0.93,0.38,0.2,0.22,0.16,0.17,0.07,0.15,0.14,0.1,0.15,0.1
a_1,0.41,0.34,0.35,0.32,0.19,0.93,0.35,0.24,0.24,0.18,0.26,0.17,0.24,0.07,0.14,0.13
h_1,0.77,0.59,0.6,0.6,0.42,0.19,0.72,0.28,0.39,0.3,0.28,0.26,0.18,0.19,0.3,0.22
d_0,0.57,0.45,0.36,1.09,0.48,0.37,0.47,0.61,0.29,0.31,0.37,0.33,0.28,0.19,0.32,0.31
g_1,0.55,0.61,0.91,0.47,0.54,0.21,0.32,0.32,0.72,0.37,0.34,0.48,0.32,0.24,0.16,0.24
c_0,0.69,0.64,0.48,0.46,0.48,0.44,0.38,0.34,0.34,0.61,0.57,0.37,0.38,0.27,0.33,0.27
b_0,0.74,0.63,0.65,0.62,0.33,0.32,0.44,0.34,0.31,0.32,0.6,0.33,0.34,0.47,0.28,0.26
f_0,0.35,0.51,0.78,0.63,0.56,0.42,0.47,0.41,0.33,0.39,0.45,0.62,0.35,0.32,0.25,0.47
h_0,0.8,0.66,0.78,0.59,0.61,0.34,0.3,0.4,0.39,0.33,0.41,0.35,0.2,0.27,0.34,0.24
a_0,0.65,0.86,0.61,0.69,0.64,0.27,0.52,0.42,0.38,0.4,0.34,0.39,0.37,0.58,0.42,0.28
g_0,0.71,0.6,0.95,0.8,0.52,0.44,0.42,0.38,,0.35,0.44,0.5,0.35,0.24,0.2,0.25
e_0,0.7,0.39,0.67,0.92,0.78,0.39,0.44,0.42,0.4,0.4,0.56,0.38,0.48,0.26,0.41,0.59
