,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.1,1.76,3.04,4.11,3.41,2.96,0.93,1.05,0.72,0.62,0.88,0.65,0.46,0.98,0.53,0.68
f_1,3.12,1.11,2.85,3.2,3.08,2.79,0.68,1.15,0.72,0.62,0.98,0.62,0.34,0.66,0.53,0.55
d_1,4.02,3.49,1.1,3.36,2.94,3.11,0.8,0.61,1.27,0.56,0.57,0.63,0.45,0.64,0.3,0.56
c_1,2.54,3.75,4.42,1.11,3.12,3.3,0.91,0.8,0.35,0.81,0.62,0.66,0.48,0.64,0.5,0.62
b_1,3.49,3.62,4.11,2.21,1.11,3.49,1.15,1.15,0.76,1.12,0.8,1.21,0.63,0.87,0.64,0.9
a_1,6.06,7.0,5.88,4.8,2.89,1.14,1.68,1.73,1.21,1.34,1.12,1.27,0.85,0.99,0.81,1.66
h_1,11.77,12.24,10.09,12.78,12.63,9.69,1.65,3.49,2.63,2.43,2.38,2.48,2.15,2.05,1.61,2.03
g_1,13.33,15.11,13.59,14.08,13.55,12.52,2.98,1.67,2.73,2.48,3.33,2.76,1.51,2.45,2.31,2.31
d_0,9.06,16.66,23.29,15.04,15.61,14.5,4.81,4.89,2.07,2.99,3.39,3.4,2.11,3.65,2.74,3.14
c_0,16.16,15.59,9.43,27.47,18.63,13.35,4.28,4.22,4.8,2.02,3.57,3.36,2.7,3.34,2.12,3.11
f_0,15.66,22.32,15.28,16.79,20.28,14.4,4.51,2.84,3.22,2.87,1.95,3.26,2.3,3.22,1.41,3.03
b_0,16.24,16.66,13.27,23.91,31.38,15.51,4.59,4.46,4.34,1.93,3.93,2.03,2.7,3.37,2.48,2.91
h_0,21.65,22.47,23.29,24.09,20.14,19.96,7.84,5.87,4.59,4.31,5.19,3.96,4.26,4.72,3.42,3.57
e_0,31.04,39.71,20.56,23.24,23.85,21.0,8.0,5.29,5.66,4.67,2.5,4.48,3.8,2.09,2.87,3.65
g_0,26.57,31.92,20.94,30.22,28.94,21.22,5.32,7.41,5.76,4.98,4.92,5.11,3.02,5.38,4.02,5.01
a_0,24.35,27.54,22.5,27.25,36.35,38.04,7.41,7.33,5.87,4.86,5.05,2.88,3.67,5.95,4.07,2.33
