,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,9.43,0.74,1.04,0.54,0.71,0.7,0.96,2.22,0.73,1.04,0.88,0.98,0.91,0.96,0.77,1.04
f_1,1.87,9.36,0.71,0.69,0.6,0.52,0.72,0.93,0.75,0.87,0.74,0.59,0.86,1.02,0.76,0.81
c_1,0.51,0.64,11.38,0.76,1.88,0.75,1.0,0.84,0.43,0.55,0.78,0.81,0.92,0.75,0.94,0.9
d_1,0.7,0.71,0.42,14.43,0.6,0.72,1.02,0.54,2.97,1.46,1.05,1.22,1.09,1.04,1.02,1.1
b_1,0.55,0.72,0.7,0.7,13.09,1.95,0.96,0.93,0.86,0.68,0.82,0.89,0.92,0.77,1.03,0.72
a_1,0.61,0.85,0.77,0.71,0.59,18.99,1.06,0.8,1.29,1.03,1.03,0.98,1.51,0.78,1.05,1.17
h_1,0.7,1.33,0.72,0.95,0.65,0.64,2.85,0.75,1.13,1.13,1.51,1.25,0.73,1.06,1.11,1.47
d_0,0.66,0.64,2.92,0.57,0.93,0.64,1.07,1.99,0.59,0.9,1.0,1.05,0.93,0.99,1.08,1.2
c_0,0.84,0.84,0.52,0.98,0.49,0.77,0.94,1.07,2.37,3.11,1.41,1.36,1.37,1.53,1.09,1.19
b_0,0.85,0.9,0.89,0.82,0.48,0.46,1.18,1.13,1.36,2.84,1.43,1.16,1.17,3.61,1.26,1.32
g_1,0.61,0.7,0.76,1.63,0.67,0.61,1.22,0.72,1.2,1.11,5.19,2.21,1.04,1.22,1.18,1.01
f_0,0.49,0.61,0.85,1.12,0.71,0.83,1.31,1.01,1.21,1.22,1.73,3.53,1.38,1.1,3.58,1.24
h_0,0.7,1.24,0.78,1.1,0.64,0.62,0.85,0.81,0.96,1.14,1.61,1.11,0.9,1.11,1.07,1.77
a_0,0.85,0.86,0.96,0.97,0.59,0.41,1.3,1.13,1.03,1.07,1.3,1.25,1.03,2.92,1.38,1.28
e_0,0.48,0.96,0.69,1.33,0.84,0.79,1.02,0.79,1.29,1.22,1.48,1.23,1.55,1.2,3.09,1.21
g_0,0.54,0.63,0.78,1.84,0.72,0.67,1.05,0.81,1.33,1.06,1.07,2.5,1.14,1.11,1.22,0.89
