,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.08,2.39,1.12,1.17,1.23,1.17,4.37,4.82,4.52,6.39,5.88,2.29,7.75,5.11,5.28,8.54
e_1,1.57,6.14,1.12,1.76,1.07,1.21,5.11,5.71,3.98,10.6,6.03,6.58,9.17,5.71,3.47,9.49
d_1,1.3,1.22,6.3,0.86,1.33,1.35,4.57,12.47,5.0,3.28,8.02,7.37,10.92,7.55,7.79,9.34
c_1,1.14,1.11,1.15,7.07,2.67,0.9,4.17,1.82,4.41,4.79,4.92,5.64,9.23,7.0,6.2,10.16
b_1,1.35,1.08,1.58,0.96,7.18,2.61,4.79,5.53,4.65,5.7,2.26,5.9,8.98,4.59,5.51,9.53
a_1,1.38,1.26,1.37,1.5,1.06,9.98,5.77,5.58,3.72,7.48,5.46,7.29,9.52,3.59,5.33,9.21
h_1,2.34,1.5,1.6,1.57,1.22,1.71,15.21,6.53,7.25,6.03,7.68,6.5,5.81,9.97,6.83,14.25
c_0,1.84,1.55,1.77,1.03,1.22,1.57,6.0,15.36,7.63,7.64,15.74,9.39,13.21,10.27,8.19,10.61
g_1,1.2,1.45,2.71,1.56,1.57,1.35,4.91,8.57,19.66,5.11,6.93,11.79,10.44,7.13,6.55,5.21
d_0,1.6,1.8,0.95,3.18,1.35,1.3,6.7,5.65,5.33,14.9,7.85,6.35,11.72,8.1,7.58,8.96
b_0,1.92,1.5,1.73,1.85,0.72,1.12,6.44,8.21,6.19,7.09,18.38,8.37,12.52,19.47,9.08,9.05
f_0,0.95,1.19,1.77,1.89,1.64,1.31,6.34,9.04,6.35,7.63,9.02,19.23,13.7,12.35,20.34,11.88
h_0,2.38,1.55,1.83,1.68,1.41,1.07,3.57,7.3,8.01,7.55,6.58,7.52,6.49,7.28,9.24,13.95
a_0,1.74,1.57,1.79,2.08,1.5,0.53,6.1,7.23,7.13,8.19,8.61,9.01,12.86,21.84,9.72,10.59
e_0,1.57,0.71,1.64,2.15,1.71,1.62,6.38,8.86,7.99,7.78,8.86,8.84,12.37,8.76,25.11,14.79
g_0,1.24,1.49,2.55,1.8,1.35,1.47,5.99,7.21,4.82,8.05,9.28,13.56,10.17,7.49,9.09,5.83
