,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.87,1.3,1.35,1.31,1.3,0.81,0.69,0.71,0.58,0.59,0.66,0.57,0.61,1.08,0.46
f_1,1.49,0.42,1.15,1.45,1.28,1.19,0.48,0.77,0.55,0.56,0.57,1.19,0.34,0.56,0.68,0.47
d_1,1.41,1.41,0.4,1.16,1.27,1.23,0.65,0.51,1.09,0.65,0.6,0.5,0.54,0.59,0.48,0.34
c_1,1.2,1.12,1.68,0.39,1.37,1.62,0.58,0.77,0.38,1.01,0.58,0.52,0.5,0.45,0.5,0.66
b_1,1.32,1.42,1.37,0.81,0.37,1.45,0.73,0.77,0.61,0.67,0.96,0.58,0.51,0.65,0.67,0.43
a_1,1.32,1.59,1.28,1.2,0.84,0.31,0.85,0.61,0.6,0.63,0.74,0.64,0.45,,0.63,0.48
h_1,0.92,1.31,0.83,1.19,0.92,0.86,0.25,0.63,0.39,0.34,0.4,0.38,0.68,0.37,0.32,0.45
g_1,1.1,0.99,0.95,1.0,0.84,0.87,0.44,0.24,0.51,0.41,0.4,0.43,0.31,0.54,0.36,0.66
d_0,0.54,1.12,1.5,1.17,1.1,0.95,0.67,0.63,0.27,0.38,0.45,0.42,0.37,0.46,0.57,0.45
c_0,1.0,1.01,0.59,1.95,1.0,0.86,0.65,0.49,0.54,0.27,0.53,0.54,0.41,0.47,0.4,0.4
b_0,0.85,0.94,0.83,1.26,2.59,0.85,0.55,0.48,0.48,0.25,0.24,0.33,0.48,0.51,0.45,0.46
f_0,0.81,1.83,1.08,1.05,1.0,0.8,0.61,0.35,0.4,0.34,0.45,0.24,0.33,0.51,0.46,0.34
h_0,0.8,1.16,0.86,0.93,0.96,0.94,0.82,0.54,0.46,0.44,0.36,0.44,0.57,0.36,0.39,0.43
a_0,0.89,0.88,0.99,1.19,0.93,,0.61,0.6,0.45,0.4,0.24,0.4,0.42,0.21,0.45,0.4
e_0,1.31,1.02,1.05,0.89,0.88,0.83,0.53,0.57,0.38,0.48,0.38,0.24,0.46,0.43,0.2,0.35
g_0,0.98,0.95,1.06,0.89,1.06,1.01,0.37,0.7,0.41,0.42,0.36,0.41,0.31,0.34,0.46,0.52
