,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.7,0.96,1.12,0.94,0.94,0.46,0.45,0.47,0.32,0.34,0.39,0.3,0.32,0.38,0.28
f_1,1.08,0.65,0.83,0.97,0.92,0.75,0.32,0.44,0.37,0.31,0.3,0.38,0.22,0.3,0.29,0.27
d_1,1.04,1.09,0.63,1.0,0.88,0.81,0.43,0.31,0.43,0.42,0.38,0.33,0.29,0.31,0.29,0.21
c_1,0.85,1.0,1.18,0.63,1.14,0.9,0.41,0.48,0.25,0.36,0.34,0.33,0.3,0.31,0.31,0.3
b_1,1.07,1.08,1.17,0.66,0.62,1.06,0.49,0.54,0.37,0.51,0.45,0.36,0.34,0.37,0.35,0.29
a_1,1.17,1.58,1.27,1.12,0.77,0.57,0.61,0.5,0.46,0.47,0.58,0.45,0.34,0.48,0.43,0.34
h_1,1.56,1.91,1.44,1.73,1.45,1.23,0.54,0.69,0.57,0.54,0.55,0.54,0.55,0.47,0.49,0.48
g_1,1.76,1.68,1.66,1.68,1.58,1.38,0.63,0.52,0.66,0.6,0.62,0.58,0.41,0.57,0.45,0.5
d_0,1.15,1.65,1.93,2.02,1.79,1.64,0.87,0.84,0.55,0.56,0.6,0.6,0.55,0.57,0.63,0.56
c_0,2.0,1.9,1.2,2.33,1.58,1.47,0.88,0.69,0.95,0.54,0.78,0.7,0.53,0.62,0.65,0.48
b_0,1.83,2.01,1.52,2.54,1.96,1.46,0.85,0.72,0.77,0.45,0.53,0.57,0.59,0.72,0.62,0.49
f_0,1.74,2.25,1.88,2.01,1.96,1.5,0.88,0.64,0.69,0.64,0.66,0.53,0.6,0.69,0.75,0.44
h_0,1.89,2.18,1.97,2.01,1.82,1.75,0.92,0.98,0.71,0.75,0.7,0.64,0.64,0.68,0.65,0.58
a_0,2.13,2.37,1.97,2.19,2.08,2.11,0.97,0.99,0.84,0.7,0.5,0.71,0.61,0.52,0.7,0.57
e_0,2.28,2.67,2.17,2.14,2.1,1.77,1.0,0.99,0.74,0.79,0.8,0.45,0.64,0.74,0.51,0.56
g_0,2.16,2.28,2.34,2.24,1.97,2.05,0.77,1.03,0.81,0.84,0.87,0.76,0.59,0.78,0.7,0.7
