,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.44,2.2,1.95,1.84,1.82,1.89,0.56,0.42,0.35,1.11,0.48,0.35,0.26,0.34,0.18,0.43
f_1,2.08,0.43,1.88,2.21,2.11,1.54,0.43,0.4,0.67,0.42,0.34,0.67,0.21,0.4,0.34,0.31
e_1,2.3,1.09,0.43,2.2,2.32,2.23,0.6,0.47,0.71,0.43,0.48,0.57,0.31,0.45,0.39,1.05
c_1,2.82,2.53,1.91,0.39,2.69,2.07,0.54,0.72,0.55,0.24,0.38,0.38,0.32,0.45,0.33,0.43
b_1,2.14,3.1,2.19,1.2,0.38,2.99,0.9,0.54,0.82,0.44,1.25,0.48,0.37,0.53,0.38,0.47
a_1,3.02,2.89,2.71,3.3,1.34,0.33,1.0,0.68,0.86,0.63,0.6,0.72,0.55,1.33,0.5,0.53
h_1,2.64,3.04,3.65,4.38,3.27,3.34,0.34,0.66,0.97,0.76,0.65,0.73,0.76,0.5,0.47,0.51
c_0,1.9,4.14,4.17,7.48,3.43,3.66,1.04,0.39,1.18,1.06,0.88,0.75,0.6,0.83,0.53,0.66
g_1,3.2,4.78,4.21,4.21,3.89,3.33,0.63,0.67,0.31,0.84,0.7,0.62,0.44,0.83,0.61,0.52
d_0,5.68,3.41,2.04,3.62,4.77,3.93,1.24,0.85,1.54,0.39,0.93,0.73,0.52,0.97,0.62,0.72
b_0,2.99,3.78,3.55,6.67,6.35,3.4,1.3,0.43,1.27,0.83,0.37,0.97,0.66,0.79,0.55,0.82
f_0,3.63,9.2,3.63,4.9,3.77,3.67,1.09,0.81,0.76,0.95,0.74,0.36,0.64,0.91,0.36,0.8
h_0,3.9,4.28,3.99,4.59,4.61,3.79,1.93,0.94,1.23,0.94,0.86,0.88,1.08,0.76,0.68,0.74
a_0,3.75,6.08,4.51,6.2,5.92,8.1,1.2,0.73,1.45,1.44,0.47,0.85,0.65,0.33,0.61,0.86
g_0,4.08,5.49,5.43,5.41,4.79,4.14,1.11,0.92,1.59,1.18,0.92,0.95,0.54,0.79,1.03,1.03
e_0,3.78,6.3,11.51,4.3,4.51,6.31,1.41,1.05,1.23,1.39,0.91,0.48,0.72,0.92,0.56,0.34
