,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.81,0.63,0.51,0.82,0.57,0.55,0.97,1.75,0.78,0.84,1.01,1.21,0.88,0.65,0.91,0.85
f_1,1.32,2.93,0.56,0.4,0.44,0.49,0.78,0.74,0.8,1.08,0.39,0.83,0.97,0.6,1.12,0.77
d_1,0.49,0.71,3.15,0.5,0.61,0.55,0.9,0.38,1.01,1.81,0.98,1.0,0.88,0.93,0.79,0.97
c_1,0.45,0.52,0.59,3.09,1.26,0.57,0.94,0.88,0.75,0.27,1.0,0.65,1.02,0.9,0.73,1.02
b_1,0.55,0.54,0.67,0.65,3.44,1.2,0.83,0.86,0.73,0.79,0.97,0.45,0.99,1.01,0.65,1.01
a_1,0.53,0.81,0.69,0.64,0.5,4.81,0.74,0.94,0.95,0.63,0.89,0.88,1.21,1.19,0.54,0.9
h_1,0.59,1.05,0.84,0.81,0.65,0.56,2.98,0.94,1.56,1.02,1.04,1.2,0.68,1.13,1.35,1.72
d_0,0.68,0.7,0.43,1.46,0.74,0.68,1.16,2.09,1.08,0.77,1.23,1.37,1.17,1.23,1.34,1.18
g_1,0.62,0.65,1.12,0.81,0.72,0.7,1.08,0.81,3.6,0.99,1.8,1.01,1.09,1.18,1.1,0.69
c_0,0.9,0.83,0.99,0.37,0.46,0.7,1.22,1.19,1.04,2.47,1.2,2.34,1.19,1.11,1.48,1.4
f_0,0.56,0.44,0.82,0.97,0.81,0.82,1.12,1.21,1.33,1.0,2.71,1.23,1.15,2.52,1.35,1.25
b_0,0.7,1.02,0.74,0.88,0.28,0.42,1.28,1.16,1.34,1.11,1.1,2.99,1.14,1.43,2.91,1.33
h_0,0.7,1.09,0.77,0.75,0.63,0.78,0.79,1.23,1.5,1.16,1.13,1.12,0.75,1.13,0.99,1.52
e_0,0.39,0.91,0.72,0.83,0.66,0.65,1.29,1.11,1.28,1.26,1.07,1.21,1.59,3.7,1.62,1.41
a_0,0.91,0.74,0.8,0.85,0.64,0.36,1.39,1.14,1.22,1.39,1.09,1.28,1.07,1.01,3.2,1.24
g_0,0.61,0.67,1.37,0.69,0.71,0.7,1.05,0.96,0.78,1.43,1.95,1.11,1.23,1.24,1.43,0.76
