,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,21.69,0.37,0.41,0.3,0.38,0.3,0.65,1.51,0.7,1.02,0.63,0.85,0.99,0.91,0.2,0.78
f_1,0.71,22.05,0.35,0.3,0.32,0.32,0.64,0.63,0.71,0.6,0.64,0.16,0.77,0.96,0.7,0.76
c_1,0.34,0.3,25.86,0.38,0.75,0.36,0.8,0.66,0.12,0.44,0.57,0.7,0.77,0.61,1.08,0.96
d_1,0.32,0.34,0.18,30.52,0.34,0.4,0.79,0.22,1.53,1.2,0.9,0.98,0.96,0.79,0.92,1.03
b_1,0.25,0.37,0.39,0.37,31.75,0.74,0.71,0.92,0.72,0.2,0.49,0.85,0.74,0.68,0.76,0.81
a_1,0.23,0.37,0.36,0.35,0.3,48.07,0.81,0.95,1.09,0.9,0.74,0.9,1.28,0.2,1.03,0.67
h_1,0.55,1.02,0.71,0.69,0.45,0.64,9.64,0.97,1.28,1.32,1.86,1.6,0.32,0.93,1.67,1.68
d_0,0.73,0.59,1.7,0.18,0.48,0.44,1.33,5.37,1.26,1.73,1.41,1.29,1.59,1.49,1.42,1.91
c_0,0.63,0.89,0.24,0.86,0.6,0.56,1.55,1.41,6.02,2.78,1.43,1.84,1.77,1.57,1.48,1.41
b_0,0.95,0.7,0.67,0.54,0.18,0.48,1.55,1.77,1.99,7.42,1.4,1.35,1.56,3.4,1.15,1.88
g_1,0.48,0.67,0.64,1.03,0.49,0.55,1.68,1.2,1.67,1.71,15.65,2.36,1.39,1.81,1.44,0.71
f_0,0.49,0.33,0.75,0.88,0.52,0.78,1.49,1.86,1.71,1.97,2.16,9.08,2.4,1.57,3.53,2.14
h_0,0.56,0.84,0.78,0.72,0.38,0.74,0.61,1.26,1.78,1.44,1.81,1.58,0.73,1.49,1.46,2.19
a_0,0.59,0.56,0.75,0.73,0.56,0.21,1.63,1.93,1.46,1.9,2.23,2.04,1.5,9.48,1.78,1.83
e_0,0.22,0.87,0.6,0.95,0.71,0.69,1.57,1.03,1.86,1.67,2.11,1.98,2.42,1.58,9.34,1.7
g_0,0.39,0.5,0.75,1.27,0.72,0.5,1.21,1.35,1.88,1.2,,2.58,1.66,1.38,1.45,0.65
