,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.68,2.28,1.88,2.03,2.1,1.66,0.67,0.64,1.05,0.65,0.8,0.97,0.47,0.6,0.59,0.66
e_1,1.39,0.67,1.98,2.26,1.69,2.2,1.11,0.86,1.07,0.89,0.6,0.8,0.62,0.78,1.92,0.67
d_1,2.35,2.28,0.65,1.97,1.9,1.78,0.86,2.12,0.67,0.85,0.74,0.6,0.67,0.7,0.75,0.4
c_1,1.91,1.93,2.93,0.65,2.27,1.96,1.06,0.48,0.87,1.61,0.78,0.81,0.73,0.72,0.79,0.62
b_1,2.32,2.64,2.43,1.47,0.62,2.89,1.14,0.94,0.92,0.85,2.44,0.6,0.62,0.75,0.59,0.51
a_1,3.46,2.34,2.59,2.74,1.4,0.57,1.24,1.16,1.06,1.1,1.24,1.21,0.69,2.19,1.13,0.95
h_1,2.88,2.51,2.51,2.63,2.55,2.27,0.6,1.09,1.65,0.84,0.87,0.98,1.09,0.76,0.8,0.86
d_0,2.93,1.82,4.39,3.11,2.96,2.86,1.44,0.69,1.21,1.18,0.92,1.13,0.81,1.0,0.87,1.05
g_1,2.72,2.89,2.98,3.4,3.1,2.97,0.92,1.44,0.57,0.8,0.82,0.98,0.82,0.96,0.98,0.97
c_0,3.56,2.55,1.8,5.84,3.26,2.55,1.42,1.38,1.59,0.64,1.2,1.01,0.91,1.0,0.94,0.96
b_0,3.18,3.69,2.74,3.41,5.43,2.48,1.65,1.26,1.3,0.72,0.63,1.09,0.86,1.19,0.92,0.75
f_0,7.06,3.04,3.28,3.13,4.21,2.31,1.75,1.13,0.9,1.21,1.07,0.63,0.89,0.94,1.09,0.68
h_0,4.02,3.42,3.15,2.98,4.45,2.94,2.65,1.41,1.6,1.16,1.14,1.16,1.49,1.31,1.02,1.39
a_0,4.71,3.36,2.89,3.8,5.81,,1.85,1.56,1.53,1.09,0.74,1.19,0.95,0.6,1.56,1.09
e_0,5.08,3.84,2.9,3.78,5.21,2.68,1.48,1.31,1.42,1.2,1.09,0.69,0.96,1.03,0.59,1.21
g_0,4.32,3.6,4.42,4.12,4.25,2.56,1.44,1.24,2.6,1.28,1.33,1.34,0.88,1.15,0.94,1.47
