,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.04,1.07,1.65,1.54,1.38,1.28,0.58,0.6,0.56,0.46,0.44,0.57,0.41,0.34,0.43,0.33
f_1,1.73,1.05,1.6,1.64,1.46,1.27,0.45,0.58,0.48,0.49,0.47,0.49,0.38,0.29,0.34,0.39
c_1,1.4,1.62,1.05,1.7,1.84,1.47,0.65,0.58,0.34,0.46,0.5,0.49,0.43,0.36,0.4,0.34
d_1,1.84,1.65,1.63,1.04,1.64,1.35,0.6,0.44,0.66,0.52,0.54,0.47,0.43,0.34,0.4,0.27
b_1,1.91,1.96,1.27,1.81,1.05,1.89,0.7,0.7,0.49,0.66,0.64,0.47,0.41,0.43,0.5,0.41
a_1,2.22,2.39,2.07,2.22,1.35,1.06,1.03,0.92,0.71,0.87,0.68,0.69,0.77,0.55,0.76,0.51
h_1,4.33,5.62,4.02,3.98,3.93,3.01,1.25,1.59,1.33,1.3,1.28,1.17,1.16,1.11,1.13,1.07
g_1,5.32,5.05,4.89,5.09,4.82,3.65,1.65,1.24,1.48,1.51,1.48,1.56,1.39,0.9,1.33,1.23
d_0,3.85,4.84,6.06,5.56,5.62,4.53,2.15,2.26,1.37,1.71,1.45,1.61,1.38,1.29,1.46,1.13
b_0,5.36,5.3,6.39,4.26,5.68,4.3,2.0,1.77,1.68,1.3,1.09,1.55,1.65,1.13,1.3,1.03
c_0,6.23,5.73,7.04,3.7,5.14,5.19,2.12,1.85,2.42,1.74,1.33,1.53,1.51,1.31,1.5,1.17
f_0,5.79,7.7,5.55,5.67,6.38,5.14,2.35,1.6,1.77,1.73,1.72,1.33,1.69,1.42,1.71,0.97
a_0,7.19,7.96,7.48,6.45,8.73,6.28,2.62,2.66,2.32,1.4,1.68,1.94,1.44,1.72,1.55,1.52
h_0,7.52,7.69,7.63,7.2,6.63,5.61,2.96,2.86,2.14,2.09,1.94,2.01,1.73,1.91,1.58,1.69
e_0,9.32,10.84,7.21,6.86,7.94,5.95,2.7,2.22,2.32,2.49,2.21,1.38,2.38,1.96,1.44,1.56
g_0,8.22,8.38,8.04,8.98,7.73,7.19,2.59,3.41,2.69,2.43,2.35,2.56,1.96,1.59,2.09,1.93
