,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.19,0.88,0.98,0.87,0.59,0.39,0.45,0.47,0.38,0.34,0.38,0.32,0.31,0.31,0.3
e_1,0.84,1.0,0.92,0.99,0.88,0.76,0.45,0.68,0.41,0.39,0.42,0.45,0.36,0.26,0.37,0.36
d_1,1.14,1.09,1.0,0.8,0.98,0.7,0.49,0.37,0.32,0.63,0.4,0.36,0.3,0.4,0.25,0.31
c_1,1.02,1.02,1.25,1.0,1.22,0.74,0.45,0.28,0.54,0.31,0.38,0.45,0.37,0.35,0.27,0.28
b_1,1.15,1.14,1.02,0.82,1.0,1.4,0.58,0.52,0.45,0.46,0.39,0.41,0.33,0.3,0.38,0.27
a_1,1.69,1.32,1.42,1.35,0.71,1.0,1.14,0.63,0.9,0.48,0.73,0.51,0.59,0.45,0.39,0.41
h_1,2.59,2.2,2.14,2.22,1.73,0.88,1.0,0.72,1.09,0.85,0.76,0.71,0.66,0.57,0.71,0.65
d_0,2.3,1.49,2.82,3.71,1.9,1.6,1.36,1.0,1.02,0.95,1.03,0.91,0.76,0.63,0.84,0.88
g_1,2.19,2.36,3.06,1.96,2.23,1.1,0.9,0.97,1.0,0.98,0.95,1.12,0.78,0.77,0.78,0.71
c_0,2.58,2.5,1.58,3.16,2.13,1.98,1.21,0.99,1.05,1.0,1.34,0.96,0.98,0.79,0.87,0.86
b_0,2.93,2.29,2.33,2.72,2.37,1.46,1.35,0.97,1.02,0.75,1.0,0.87,0.88,1.21,0.75,0.7
f_0,2.57,2.06,2.92,2.35,2.39,2.03,1.49,1.08,0.88,1.04,1.14,1.0,0.89,0.91,0.65,1.14
h_0,3.16,2.82,3.22,2.82,3.02,1.68,1.52,1.29,1.3,1.02,1.21,1.06,1.0,0.9,0.98,0.76
a_0,2.87,3.83,2.49,2.93,3.25,2.17,1.81,1.45,1.37,1.22,0.88,1.18,1.06,1.0,1.28,1.07
g_0,3.24,2.73,3.95,3.61,2.58,2.45,1.39,1.23,,1.16,1.4,1.53,0.98,0.85,1.0,0.84
e_0,3.52,2.68,2.98,3.9,3.54,2.13,1.5,1.25,1.44,1.27,1.5,0.9,1.3,1.0,1.16,1.0
