,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.3,1.5,0.71,0.75,0.56,0.62,1.32,1.5,1.25,1.79,1.54,0.82,2.03,1.26,2.1,0.98
e_1,0.96,2.37,0.68,1.07,0.71,0.57,1.54,1.65,1.37,3.01,1.55,1.74,2.11,1.58,1.88,0.99
d_1,0.94,0.76,2.4,0.68,0.84,0.52,1.68,3.08,1.34,0.95,1.89,1.67,2.16,1.47,1.93,1.67
c_1,0.78,0.71,0.87,2.44,1.48,0.61,1.47,1.08,1.06,1.58,1.13,1.53,2.07,1.17,1.96,1.27
b_1,0.85,0.75,0.86,0.88,2.65,1.27,1.61,1.51,1.23,1.47,1.09,1.63,2.17,1.22,1.75,1.26
a_1,0.8,0.8,1.0,0.85,0.78,3.21,1.55,1.81,1.63,1.55,1.66,1.64,2.44,1.26,2.09,1.36
h_1,1.26,0.84,1.05,0.82,0.74,0.65,3.31,1.78,1.99,1.88,1.77,1.58,1.63,1.37,2.92,1.5
c_0,1.13,0.86,0.97,0.72,0.54,0.69,1.94,3.03,1.86,2.07,3.4,2.06,2.58,2.19,2.24,1.79
g_1,0.85,0.81,1.35,0.9,0.84,0.62,1.7,1.94,3.65,1.59,1.63,2.53,1.9,1.71,1.4,1.5
d_0,0.97,0.8,0.63,1.64,0.88,0.53,1.7,1.29,1.61,3.02,1.81,1.79,2.12,1.82,2.34,1.56
b_0,1.11,0.98,1.01,0.93,0.55,0.56,1.68,1.79,1.57,1.95,3.34,1.91,2.51,3.36,2.38,1.43
f_0,0.8,0.68,1.13,0.98,0.87,0.69,2.17,1.99,1.64,1.82,1.78,3.37,2.08,1.8,2.17,3.62
h_0,1.3,0.98,0.95,0.94,0.73,0.64,1.28,1.74,2.18,1.75,1.76,1.68,1.7,1.58,2.59,1.3
a_0,0.96,0.98,1.09,1.06,0.83,0.43,1.88,1.84,1.37,1.9,1.7,1.83,2.17,3.32,1.85,1.68
g_0,0.86,0.84,1.37,0.97,0.75,0.55,1.61,1.92,1.29,1.76,1.84,2.75,2.17,1.5,1.64,1.89
e_0,1.02,0.7,1.06,1.03,0.91,0.58,1.64,2.14,1.22,1.74,1.54,1.67,2.53,1.53,2.26,3.56
