,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.53,0.89,0.89,1.19,1.04,0.79,1.13,1.19,1.81,1.11,1.06,1.34,1.35,1.05,1.06,1.23
d_1,1.07,1.55,1.08,0.82,0.9,0.84,1.15,1.09,0.98,1.65,1.32,1.14,1.28,1.01,1.11,1.06
f_1,1.51,0.97,1.56,1.03,0.84,0.7,1.08,1.07,1.24,1.08,1.11,0.86,1.01,0.76,0.98,1.15
c_1,0.96,1.09,0.99,1.59,1.51,0.92,1.08,1.18,1.03,0.9,0.87,1.1,1.34,0.98,0.84,1.0
b_1,0.93,1.11,1.16,0.89,1.63,1.54,1.23,1.16,1.14,1.31,1.07,1.14,1.37,1.1,0.8,1.25
a_1,1.12,1.17,1.34,1.09,0.8,1.75,1.35,1.25,1.28,1.33,1.45,1.12,1.47,1.11,1.01,1.29
h_1,1.3,1.36,1.51,1.27,1.13,0.99,1.9,1.59,1.39,1.33,1.34,1.42,1.45,1.34,1.24,1.79
g_1,1.2,1.68,1.19,1.2,1.13,1.04,1.43,1.89,1.32,1.48,1.42,1.84,1.5,1.42,1.17,1.33
d_0,1.16,1.25,1.2,1.9,1.35,1.14,1.51,1.45,1.81,1.15,1.14,1.43,1.61,1.35,1.13,1.56
c_0,1.43,1.24,1.46,1.28,1.0,1.0,1.58,1.5,1.6,1.85,2.23,1.53,1.85,1.39,1.72,1.5
b_0,1.31,1.33,1.44,1.44,1.07,0.85,1.55,1.47,1.7,1.44,1.9,1.54,1.78,1.33,2.07,1.62
f_0,1.12,1.5,1.3,1.4,1.21,1.18,1.52,1.53,1.69,1.42,1.53,1.88,1.81,2.21,1.27,1.57
h_0,1.3,1.46,1.72,1.37,1.24,1.14,1.35,1.82,1.56,1.44,1.62,1.45,1.45,1.46,1.29,1.72
e_0,1.13,1.57,1.61,1.45,1.33,1.24,1.56,1.63,1.59,1.54,1.65,1.32,1.89,1.9,1.4,1.6
a_0,1.33,1.49,1.42,1.61,1.5,0.88,1.67,1.62,1.69,1.38,1.49,1.62,1.87,1.47,1.95,1.79
g_0,1.32,1.86,1.39,1.49,1.24,1.1,1.56,1.53,1.5,1.55,1.48,1.95,1.88,1.7,1.25,1.45
