,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.8,0.9,0.65,0.97,0.8,0.72,1.02,0.94,1.52,0.82,0.93,1.02,1.01,0.96,0.65,0.96
f_1,1.32,1.82,0.72,0.82,0.65,0.65,0.9,0.84,0.98,0.93,0.73,1.0,0.96,0.92,0.73,0.79
d_1,0.77,0.86,2.0,0.65,0.78,0.73,1.02,1.02,0.64,1.61,0.99,1.18,1.03,1.11,1.04,1.06
c_1,0.72,0.75,0.86,1.98,1.31,0.77,0.92,0.84,0.94,0.6,0.92,0.71,0.99,0.95,0.94,1.0
b_1,0.71,0.78,0.89,0.8,1.97,1.45,0.89,0.93,0.84,0.9,1.09,0.76,0.95,0.78,1.11,1.04
a_1,0.78,0.92,0.92,0.76,0.78,2.73,0.99,1.09,0.92,1.13,1.05,0.99,1.14,0.72,1.26,0.88
h_1,0.79,1.06,0.99,0.93,0.75,0.78,1.68,1.11,0.98,0.9,0.97,1.0,0.84,1.0,1.12,1.45
g_1,0.79,0.76,1.22,0.9,0.9,0.72,1.09,1.99,0.9,1.13,1.52,0.91,0.93,0.99,1.21,0.95
d_0,0.82,0.91,0.67,1.46,0.91,0.85,0.92,0.99,1.47,0.76,0.99,0.98,1.0,1.03,0.96,0.95
c_0,0.95,0.9,0.94,0.69,0.74,0.8,1.2,1.12,1.06,1.52,1.06,1.97,1.03,1.38,1.05,1.13
f_0,0.67,0.73,0.94,1.03,1.02,0.88,1.19,1.18,0.96,0.93,1.8,0.95,1.16,1.12,2.08,1.32
b_0,0.84,0.91,0.92,1.03,0.75,0.56,1.08,1.16,1.02,1.05,1.1,1.77,1.14,2.32,1.07,1.13
h_0,0.88,1.12,1.0,0.86,0.78,0.78,0.77,1.41,0.99,0.95,1.04,1.02,0.78,1.16,0.96,1.33
a_0,0.92,0.93,0.91,0.97,0.97,0.67,1.05,1.1,1.06,0.99,1.23,1.15,0.95,2.07,1.08,1.24
e_0,0.64,1.01,1.05,0.87,0.83,0.84,1.27,1.07,1.02,1.16,1.04,1.18,1.14,1.11,2.11,1.08
g_0,0.59,0.84,1.36,0.89,0.87,0.88,0.87,0.82,0.72,1.04,1.55,1.0,1.02,0.96,1.35,0.86
