,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.14,0.85,0.97,0.88,0.65,0.41,0.43,0.44,0.37,0.35,0.3,0.26,0.26,0.25,0.3
e_1,0.87,1.0,0.86,1.07,0.83,0.71,0.53,0.58,0.44,0.41,0.36,0.41,0.35,0.33,0.35,0.32
d_1,1.22,1.11,1.0,0.86,0.8,0.72,0.49,0.46,0.37,0.54,0.41,0.33,0.36,0.34,0.32,0.24
c_1,1.05,0.94,1.19,1.0,1.2,0.75,0.55,0.35,0.47,0.41,0.36,0.37,0.36,0.32,0.34,0.32
b_1,1.13,1.19,1.25,0.84,1.0,1.21,0.61,0.45,0.51,0.49,0.41,0.4,0.37,0.34,0.34,0.34
a_1,1.53,1.38,1.37,1.34,0.84,1.0,0.73,0.63,0.64,0.6,0.68,0.54,0.48,0.53,0.52,0.43
h_1,2.33,1.93,2.02,1.83,1.71,1.33,1.0,0.87,1.07,0.83,0.72,0.66,0.66,0.61,0.66,0.66
d_0,2.29,1.73,2.06,2.84,2.37,1.58,1.15,1.0,1.0,0.82,0.79,0.85,0.77,0.73,0.78,0.73
g_1,2.29,2.22,2.63,2.16,1.93,1.51,0.95,1.0,1.0,0.92,0.91,0.93,0.7,0.75,0.78,0.65
c_0,2.67,2.33,1.96,2.34,2.05,1.62,1.24,1.19,1.13,1.0,1.16,0.87,0.81,0.84,0.77,0.73
b_0,2.96,2.65,2.42,2.81,2.46,1.39,1.42,1.21,1.16,0.86,1.0,0.94,0.89,1.12,0.81,0.75
f_0,3.27,2.5,3.07,2.84,2.48,1.8,1.47,1.14,1.06,1.19,1.09,1.0,1.0,0.9,1.16,0.73
h_0,3.76,2.91,2.86,2.69,2.63,2.05,1.51,1.27,1.43,1.24,1.12,0.99,1.0,0.92,0.97,0.91
a_0,3.62,3.04,2.88,3.06,2.97,1.85,1.68,1.41,1.33,1.24,0.92,1.11,1.08,1.0,1.03,0.81
e_0,3.85,3.02,3.11,2.93,2.89,2.04,1.55,1.27,1.33,1.24,1.26,0.86,1.01,0.98,1.0,1.03
g_0,3.43,3.15,3.86,3.07,2.92,2.33,1.53,1.37,1.66,1.41,1.33,1.4,1.07,1.21,1.01,1.0
