,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,2.57,4.95,4.79,4.41,4.79,1.03,0.8,1.35,0.77,0.73,1.03,0.97,0.97,4.14,0.71
f_1,3.72,0.44,3.95,5.23,5.07,4.47,0.79,0.83,1.7,0.78,0.76,2.63,0.45,0.74,0.72,0.84
d_1,6.26,4.63,0.42,3.8,3.84,3.89,1.46,5.07,0.94,0.92,1.04,0.74,0.73,0.83,0.85,0.41
c_1,3.99,4.11,5.89,0.42,4.91,4.51,1.54,0.5,1.33,3.52,0.89,0.81,0.64,0.96,0.87,0.53
b_1,5.53,5.6,4.1,3.26,0.39,4.42,1.73,1.28,1.09,1.01,3.76,1.02,0.6,1.19,0.99,0.78
a_1,5.89,5.61,6.45,6.85,3.01,0.33,2.4,1.44,1.64,1.63,1.64,1.42,1.24,5.41,1.19,1.06
h_1,4.52,6.56,4.51,4.88,5.56,5.24,0.35,0.94,1.41,0.94,1.1,0.81,1.69,0.86,0.71,0.64
d_0,2.92,5.5,13.98,5.63,6.52,5.4,2.05,0.47,1.43,1.36,1.23,1.39,0.73,1.1,1.08,1.03
g_1,6.26,5.81,5.43,5.3,6.3,5.04,1.41,1.25,0.32,1.19,1.21,1.1,0.64,1.11,1.06,3.79
c_0,6.81,5.94,2.69,16.79,6.35,6.95,1.72,1.36,1.95,0.42,1.11,1.16,0.7,1.02,1.18,0.8
b_0,5.27,6.41,5.15,6.8,18.92,6.04,1.52,1.17,1.7,0.66,0.43,1.01,0.77,1.27,1.12,0.83
f_0,6.54,24.33,6.37,4.52,6.22,6.11,1.48,1.25,1.04,1.05,1.12,0.42,0.69,1.29,1.75,0.54
h_0,7.35,7.13,6.17,5.75,7.66,5.91,4.07,1.48,1.82,1.38,1.14,1.55,2.31,1.14,1.14,1.09
a_0,6.61,9.77,8.4,7.07,7.71,16.41,1.62,1.76,1.8,1.51,0.73,1.09,1.03,0.35,1.14,1.3
e_0,12.04,8.13,6.0,8.01,7.71,7.76,2.15,1.56,2.5,1.44,1.71,0.73,0.94,1.37,0.36,1.27
g_0,6.37,9.98,7.59,8.18,7.08,8.02,1.59,1.32,,1.56,1.27,1.47,0.81,1.66,1.53,1.85
