,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.82,1.22,1.39,1.39,1.27,0.68,0.89,0.8,0.61,0.66,0.62,0.54,0.65,1.19,0.49
f_1,1.43,0.41,0.98,1.3,1.58,1.33,0.5,0.64,0.8,0.57,0.55,1.17,0.35,0.52,0.52,0.59
d_1,1.55,1.42,0.39,1.55,1.09,1.11,0.78,1.01,0.47,0.61,0.52,0.67,0.47,0.48,0.57,0.33
c_1,1.12,1.44,1.68,0.38,1.37,1.1,0.71,0.34,0.93,0.95,0.64,0.59,0.45,0.64,0.56,0.48
b_1,1.37,1.29,1.83,0.75,0.37,2.08,0.67,0.51,0.67,0.91,1.57,0.51,0.44,0.69,0.52,0.45
a_1,1.44,1.32,1.4,1.57,0.71,0.31,0.84,0.58,0.71,0.56,0.69,0.54,0.63,0.93,0.74,0.6
h_1,0.97,1.13,0.87,0.98,1.0,0.87,0.25,0.51,0.45,0.39,0.45,0.4,0.75,0.38,0.42,0.47
d_0,0.52,1.08,1.66,1.18,1.27,1.18,0.52,0.28,0.59,0.36,0.39,0.4,0.43,0.39,0.4,0.44
g_1,0.96,1.04,1.14,1.0,0.87,0.79,0.48,0.5,0.23,0.46,0.38,0.46,0.31,0.56,0.42,0.44
c_0,0.97,0.88,0.62,1.98,0.97,1.04,0.66,0.57,0.52,0.26,0.46,0.43,0.39,0.48,0.34,0.38
b_0,0.87,0.97,0.84,1.08,1.66,0.83,0.52,0.45,0.65,0.27,0.25,0.47,0.44,0.43,0.47,0.4
f_0,0.95,1.37,0.97,0.97,0.86,0.86,0.57,0.48,0.37,0.38,0.37,0.24,0.43,0.38,0.41,0.31
h_0,0.82,1.22,1.06,0.98,0.93,0.76,0.8,0.43,0.52,0.5,0.39,0.39,0.63,0.39,0.29,0.46
a_0,0.72,1.14,0.99,1.19,1.06,1.42,0.61,0.4,0.45,0.33,0.28,0.41,0.42,0.22,0.37,0.31
e_0,1.21,1.19,0.84,1.03,1.05,0.83,0.51,0.39,0.46,0.47,0.35,0.24,0.46,0.47,0.21,0.34
g_0,0.99,0.91,1.07,1.01,1.02,0.82,0.36,0.4,0.76,0.35,0.38,0.48,0.32,0.46,0.37,0.55
