,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.09,1.02,0.86,0.88,0.76,0.72,0.57,0.86,0.63,0.71,0.61,0.6,0.56,0.61,0.52
f_1,0.93,1.0,1.29,1.0,0.86,0.8,0.59,0.74,0.55,0.65,0.55,0.57,0.54,0.52,0.43,0.55
e_1,0.98,0.79,1.0,1.26,0.99,0.88,0.75,0.62,0.69,0.95,0.7,0.71,0.63,0.56,0.62,0.65
c_1,1.14,1.02,0.83,1.0,1.34,0.79,0.76,0.68,0.6,0.47,0.57,0.62,0.55,0.65,0.59,0.55
b_1,1.13,1.12,1.01,0.75,1.0,1.27,0.73,0.75,0.7,0.7,0.64,0.69,0.58,0.69,0.65,0.67
a_1,1.27,1.24,1.1,1.26,0.81,1.0,0.86,0.95,0.77,0.81,0.88,0.8,0.75,0.83,0.67,0.62
h_1,1.37,1.69,1.28,1.33,1.34,1.19,1.0,1.07,0.81,0.83,0.88,0.81,0.82,0.79,0.78,0.88
g_1,1.75,1.39,1.57,1.53,1.34,1.03,0.92,1.0,0.93,0.91,0.99,1.1,0.8,0.71,0.89,0.81
c_0,1.19,1.79,1.42,1.62,1.43,1.31,1.19,1.01,1.0,1.2,1.3,0.95,1.04,0.86,0.93,0.86
d_0,1.53,1.46,1.07,2.18,1.45,1.31,1.17,1.06,0.85,1.0,0.9,1.01,0.86,0.92,0.92,0.95
b_0,1.38,1.8,1.4,1.74,1.56,1.16,1.15,1.05,0.79,1.07,1.0,1.03,1.34,1.06,0.95,0.99
f_0,1.62,1.78,1.36,1.6,1.49,1.23,1.24,0.88,1.03,1.02,0.99,1.0,0.91,0.99,1.25,0.81
a_0,1.66,1.75,1.6,1.87,1.77,1.31,1.25,1.23,0.96,1.11,0.75,1.08,1.0,1.04,0.97,0.97
h_0,1.74,1.94,1.78,1.5,1.43,1.23,1.26,1.44,1.15,1.12,1.0,0.97,0.98,1.0,0.92,1.03
e_0,1.62,2.34,1.69,1.74,1.52,1.42,1.26,1.18,1.08,1.06,1.05,0.79,1.04,1.06,1.0,0.88
g_0,1.91,1.8,1.55,1.73,1.53,1.62,1.14,1.25,1.23,0.97,0.97,1.23,1.01,0.9,1.09,0.99
