,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8649.93,3381.55,3313.41,7348.91,10459.57,26977.83,3183518.67,17983569.35,10396467.6,9640594.47,18516115.9,24104394.39,154529916.4,163671975.26,82900689.4,220914283.86
f_1,4047.91,11699.4,3984.27,5831.15,7950.25,26098.13,4022871.22,9242458.34,11063203.86,7843999.93,17083023.07,10501340.71,110278484.35,124729153.22,123896151.79,261446054.26
d_1,2310.5,3100.55,19117.69,3965.17,10235.54,28992.85,3649422.67,3586364.43,20972264.41,9798068.7,17461708.8,23614211.36,134233621.66,151800631.31,155719489.08,258149576.29
c_1,2117.25,2616.94,4023.22,27456.35,20937.59,26841.26,2901995.91,9539311.75,3146421.47,7769591.14,13557979.07,20170727.57,123211318.56,103340776.8,168115049.83,230566464.78
b_1,1852.19,3052.62,4257.4,6539.5,53870.78,57882.8,3261655.03,9869505.07,10339637.46,11150785.23,9677808.01,22037740.9,126507557.81,104972708.93,168938187.94,212624330.26
a_1,2329.11,3752.98,4716.54,6144.65,8691.35,201650.57,3894269.99,10622540.04,9118799.13,6402666.61,16119101.44,20114504.85,128872707.98,53816426.03,186170925.9,270147486.26
h_1,2383.34,5327.22,6065.59,6246.32,10777.6,28930.59,10599522.33,9882536.99,14232387.88,15204293.54,21947285.96,28180098.11,104647795.98,183921848.81,158213011.19,380752838.59
d_0,2775.14,3861.32,3247.24,13743.22,12895.57,33545.47,3817385.36,20014358.75,9035118.47,10515366.13,18847076.69,26320376.03,175073648.58,155410218.92,176532412.48,290018622.71
c_0,2854.74,4550.96,6496.24,4091.37,10020.69,43095.52,5199534.29,9669006.19,24827553.48,11595211.36,35175117.47,28147569.08,160302383.33,194841792.89,217749231.25,325379178.52
g_1,2058.18,2808.39,10009.78,6547.78,9634.92,36947.5,4539593.4,9708516.41,12363160.77,35954950.68,18909559.92,45611779.19,145314141.64,124455658.53,261608273.92,197842161.23
b_0,2885.68,3894.97,5935.04,7245.06,6912.57,32701.44,4855967.01,11866014.46,14979054.69,12298035.97,39978361.75,30445907.06,180354638.38,365966172.27,217446731.74,328347444.24
f_0,2196.45,2402.23,6490.28,8801.29,11145.62,38346.76,4840123.97,11792295.55,16101178.99,13971636.29,22650164.05,60110261.64,198773513.92,190607655.26,467472590.54,344672754.75
h_0,2712.69,4860.2,5654.96,7729.5,12394.95,32032.0,3426947.96,12301533.33,13724537.26,16783349.07,19206706.39,28188962.57,98394332.92,165459690.73,214608030.86,368529516.01
a_0,2999.39,4448.58,6367.36,7301.81,10072.34,13048.55,5265436.25,10107681.9,13407125.51,13541739.79,20512705.64,35670369.25,177505565.93,460522514.61,179881265.83,377454963.43
e_0,1328.4,3403.28,6558.84,6468.55,15275.26,38751.83,5677688.65,11803368.12,15160987.53,13902005.17,27091047.07,34197314.21,174586119.55,199998095.34,564903719.94,338839532.47
g_0,2440.71,2951.91,8418.07,6794.15,13169.18,33037.7,4186368.55,8492653.63,14883832.69,9066851.71,20786718.39,43087682.26,156284764.8,238151461.85,231984957.03,200692912.83
