,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,2.11,1.71,2.1,2.03,1.66,0.68,0.86,1.04,0.7,0.65,1.57,0.51,0.67,0.6,0.8
e_1,1.46,0.67,2.02,2.13,2.04,2.0,0.87,1.06,0.85,0.73,0.72,0.91,0.62,0.6,0.71,1.42
d_1,2.12,2.33,0.65,1.92,2.29,1.86,0.88,1.56,0.58,0.97,0.67,0.66,0.5,0.83,0.44,0.72
c_1,2.06,2.08,2.9,0.65,2.2,2.02,0.84,0.43,1.2,1.15,0.74,0.77,0.71,0.73,0.49,0.58
b_1,2.38,2.36,2.21,1.4,0.63,3.21,1.14,0.87,0.91,0.88,1.54,0.81,0.6,0.69,0.71,0.6
a_1,3.35,2.52,2.81,2.81,1.31,0.57,2.16,0.99,2.04,0.79,1.23,0.92,0.94,1.79,0.68,0.88
h_1,3.12,2.95,2.74,2.98,2.61,1.57,0.59,0.81,1.36,1.06,0.93,0.87,1.15,0.82,0.81,0.93
d_0,3.08,1.62,7.27,4.23,2.55,2.49,1.56,0.66,1.45,1.19,1.19,1.04,0.88,0.92,0.98,1.1
g_1,2.86,2.96,3.38,2.72,3.09,2.03,1.0,1.2,0.56,1.04,1.1,1.1,0.8,1.05,1.68,0.95
c_0,3.12,3.14,1.66,7.02,3.1,3.07,1.47,1.15,1.28,0.66,1.26,1.03,1.05,0.97,0.98,1.18
b_0,3.63,2.6,2.67,3.75,5.45,2.28,1.58,1.08,1.32,0.69,0.65,0.93,0.92,1.28,0.84,0.8
f_0,5.82,2.55,3.36,2.71,3.18,3.23,1.75,1.07,0.89,1.04,1.11,0.62,0.9,1.06,0.69,1.12
h_0,3.39,3.33,3.67,3.76,4.22,2.47,2.54,1.41,1.47,1.08,1.23,1.13,1.76,1.11,1.04,0.9
a_0,3.32,4.54,2.69,3.35,4.53,5.09,1.99,1.63,1.65,1.23,0.76,1.2,1.04,0.61,1.4,1.46
g_0,3.81,3.18,4.23,4.23,3.39,3.78,1.42,1.28,,1.22,1.45,1.54,0.93,1.05,1.76,0.99
e_0,4.45,4.62,3.4,4.25,4.17,3.23,1.54,1.15,1.62,1.28,1.29,0.68,1.17,1.27,1.11,0.58
