,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.94,0.23,0.27,0.32,0.26,0.15,0.19,0.33,0.17,0.19,0.15,0.18,0.17,0.19,0.06,0.12
d_1,0.28,0.94,0.29,0.26,0.22,0.18,0.19,0.1,0.31,0.14,0.19,0.17,0.19,0.12,0.16,0.12
f_1,0.45,0.29,0.94,0.31,0.19,0.22,0.18,0.16,0.17,0.15,0.16,0.06,0.16,0.16,0.12,0.12
c_1,0.29,0.26,0.28,0.94,0.45,0.15,0.23,0.16,0.08,0.15,0.14,0.18,0.15,0.13,0.14,0.1
b_1,0.33,0.35,0.37,0.21,0.93,0.37,0.18,0.19,0.18,0.18,0.08,0.15,0.19,0.14,0.09,0.09
a_1,0.39,0.34,0.34,0.38,0.18,0.93,0.26,0.25,0.24,0.22,0.22,0.21,0.17,0.16,0.11,0.07
h_1,0.57,0.56,0.65,0.55,0.5,0.32,0.72,0.38,0.36,0.39,0.31,0.3,0.18,0.3,0.21,0.25
d_0,0.44,0.23,0.74,0.99,0.49,0.36,0.35,0.61,0.31,0.27,0.38,0.26,0.31,0.27,0.2,0.26
c_0,0.62,0.59,0.62,0.36,0.51,0.35,0.33,0.4,0.62,0.29,0.6,0.39,0.31,0.31,0.29,0.26
g_1,0.41,0.92,0.55,0.64,0.46,0.26,0.31,0.39,0.38,0.72,0.37,0.48,0.24,0.24,0.26,0.22
b_0,0.59,0.64,0.66,0.67,0.36,0.28,0.54,0.34,0.36,0.33,0.64,0.34,0.33,0.31,0.23,0.46
f_0,0.59,0.72,0.37,0.55,0.66,0.4,0.43,0.46,0.4,0.27,0.38,0.59,0.36,0.35,0.38,0.23
h_0,0.68,0.63,0.84,0.61,0.49,0.38,0.27,0.41,0.42,0.52,0.39,0.34,0.24,0.36,0.23,0.2
g_0,0.56,1.08,0.47,0.76,0.58,0.43,0.44,0.4,0.38,0.22,0.34,0.5,0.34,0.2,0.24,0.23
e_0,0.36,0.66,0.7,0.71,0.67,0.52,0.49,0.47,0.46,0.37,0.48,0.41,0.5,0.45,0.61,0.23
a_0,0.59,0.77,0.68,0.76,0.66,,0.5,0.52,0.41,0.43,0.33,0.43,0.51,0.33,0.34,0.55
