,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.1,1.87,3.13,3.01,3.0,2.73,0.97,0.85,0.66,0.63,0.62,0.78,0.65,0.5,0.98,0.58
f_1,2.87,1.1,2.83,3.21,2.89,2.75,0.59,0.9,0.57,0.65,0.59,0.7,0.58,0.31,0.44,0.44
d_1,3.32,3.21,1.1,2.83,2.94,2.91,0.78,0.62,0.59,1.02,0.6,0.59,0.53,0.39,0.65,0.27
c_1,2.83,3.67,4.85,1.11,3.64,3.21,1.08,0.98,1.06,0.4,0.77,0.73,0.73,0.48,0.81,0.53
b_1,4.12,4.23,3.77,2.39,1.12,4.07,1.56,1.4,1.0,0.94,1.32,0.86,0.89,0.61,0.89,0.61
a_1,6.18,6.27,6.23,5.47,2.81,1.13,1.79,1.91,1.57,1.6,1.67,1.26,1.86,1.22,1.1,1.03
h_1,10.62,11.37,9.8,11.1,9.48,8.85,1.6,3.01,2.14,2.66,1.8,1.83,1.79,1.93,1.87,1.38
g_1,12.41,13.22,11.2,13.79,12.08,11.04,2.72,1.66,2.51,2.63,2.4,2.73,2.43,1.37,2.77,2.32
c_0,15.61,16.95,8.39,27.71,15.57,13.31,4.07,3.88,1.92,4.98,3.17,2.75,2.59,2.17,3.23,1.99
d_0,9.08,15.26,20.4,15.94,16.83,15.14,5.2,4.36,3.98,2.04,3.52,3.04,3.51,2.27,3.82,2.92
b_0,15.35,17.19,14.55,21.18,27.2,15.02,4.95,4.49,1.96,3.49,2.02,2.61,3.01,2.42,3.03,2.05
f_0,17.22,27.33,18.11,17.65,17.49,18.4,5.06,3.66,3.45,3.96,3.88,2.12,3.29,3.01,4.73,1.7
a_0,21.55,22.75,19.83,24.71,31.31,27.2,6.45,6.63,4.0,4.87,2.24,3.75,2.31,2.59,4.13,2.24
h_0,23.03,25.61,23.05,25.78,23.02,19.35,9.35,5.88,4.62,4.66,4.13,4.18,4.01,4.96,4.03,3.35
e_0,31.5,43.08,23.35,27.97,28.05,24.38,8.04,6.02,5.13,6.25,4.99,2.29,4.43,3.25,2.2,3.12
g_0,33.2,33.29,26.1,29.07,29.92,28.01,6.84,10.21,5.96,6.58,5.52,5.14,6.16,3.34,5.22,4.89
