,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.19,0.05,0.02,0.03,0.03,0.02,0.07,0.05,0.06,0.07,0.07,,0.05,0.09,0.04,0.05
e_1,0.03,2.25,0.03,0.03,0.02,0.01,0.04,0.06,0.08,0.1,0.07,0.06,0.05,0.07,,0.03
d_1,0.03,0.03,2.28,0.04,0.02,0.02,0.06,0.06,0.09,,0.05,0.04,0.05,0.08,0.04,0.08
c_1,0.03,0.03,0.02,2.41,0.05,0.02,0.07,0.05,,0.04,0.06,0.06,0.04,0.09,0.05,0.08
b_1,0.03,0.03,0.03,0.02,2.54,0.03,0.09,0.05,0.06,0.06,,0.07,0.04,0.07,0.04,0.05
a_1,0.02,0.03,0.03,0.03,0.03,3.11,0.06,0.04,0.06,0.08,,,,0.08,,0.08
h_1,0.15,0.11,0.1,0.11,0.1,0.09,2.62,0.2,0.22,0.23,0.22,0.16,0.24,,0.18,0.34
g_1,0.08,0.11,0.17,0.06,0.07,0.09,0.2,2.96,0.27,0.22,0.16,0.28,0.18,0.35,0.29,
c_0,0.14,0.17,0.13,,0.11,0.13,0.26,0.19,2.11,0.31,0.62,0.28,0.23,0.36,0.2,0.32
d_0,0.2,0.14,,0.26,0.13,0.11,0.27,0.21,0.31,2.04,0.29,0.28,0.29,0.36,0.14,0.38
b_0,0.16,0.12,0.16,0.11,,,0.32,0.23,0.32,0.38,2.21,0.2,0.46,0.46,0.22,0.39
f_0,,0.14,0.16,0.12,0.17,,0.22,0.22,0.29,0.4,0.37,2.31,0.2,0.29,0.49,0.36
a_0,0.15,0.19,0.18,0.14,0.09,,0.28,0.27,0.22,0.33,0.25,0.31,2.48,0.56,,0.23
h_0,0.31,0.2,0.26,0.18,0.23,0.12,,0.51,0.45,0.45,0.29,0.44,0.35,,0.38,0.75
e_0,0.19,,0.12,0.16,0.11,,0.27,0.23,0.37,0.2,0.23,0.33,,0.59,2.8,0.31
g_0,0.18,0.18,0.37,0.17,0.18,0.14,0.42,,0.49,0.48,0.28,0.93,0.35,0.42,0.32,
