,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.28,3.22,3.2,3.19,2.82,0.9,1.21,0.85,0.89,0.76,1.44,0.54,0.67,0.86,0.67
d_1,3.2,1.06,4.05,3.59,3.13,2.5,1.2,0.84,1.07,2.45,1.11,0.86,0.83,1.0,0.78,0.45
e_1,2.28,3.47,1.07,3.68,3.21,2.81,1.35,1.3,1.11,1.14,0.92,1.08,0.92,0.81,2.23,1.22
c_1,3.58,3.94,3.56,1.07,4.71,3.15,1.18,1.4,2.08,0.66,1.11,0.96,0.89,1.01,0.87,0.95
b_1,4.41,4.35,4.27,2.22,1.07,4.93,1.88,1.31,1.5,1.4,1.69,1.4,0.84,1.25,1.06,0.83
a_1,5.98,5.51,6.12,5.04,2.7,1.07,2.74,2.39,1.46,1.51,1.65,1.61,1.45,5.09,1.41,1.47
h_1,8.88,7.42,7.19,8.32,6.06,6.12,1.37,2.87,2.22,2.1,1.84,1.8,2.66,1.78,1.65,1.48
g_1,9.29,9.44,8.02,8.56,9.06,6.11,2.56,1.37,2.42,2.7,2.19,2.1,1.55,2.81,1.89,2.86
c_0,9.79,5.37,8.37,18.09,8.35,7.69,3.56,3.95,1.6,3.34,3.32,2.32,2.5,2.82,2.51,1.87
d_0,10.01,15.95,5.35,10.71,7.19,8.77,4.01,4.71,2.98,1.65,2.7,2.97,2.09,2.26,2.27,2.32
b_0,12.71,7.54,7.71,10.86,21.34,8.1,3.96,3.87,1.89,3.16,1.65,2.34,2.41,3.08,2.4,2.1
f_0,24.48,11.26,10.21,9.71,8.83,8.2,4.02,2.91,3.03,2.9,3.04,1.64,2.85,2.87,2.89,1.58
h_0,13.32,10.88,10.16,11.49,10.85,7.75,6.39,4.98,2.83,3.41,3.28,2.74,3.5,2.8,3.26,2.61
a_0,16.07,10.63,12.79,13.34,10.86,,5.49,4.08,3.03,4.23,2.26,3.22,3.06,1.64,3.77,2.91
e_0,14.66,12.61,18.34,12.71,13.52,10.69,4.84,5.56,3.91,3.42,4.0,2.04,3.0,2.81,1.65,2.92
g_0,17.56,16.38,10.29,11.14,12.31,12.67,4.5,7.86,4.24,4.55,4.05,4.28,2.56,3.3,3.61,4.33
