,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,97.39,85.68,50.15,62.25,104.19,466.67,6002.87,14929.8,16184.52,18466.46,33708.23,20320.91,82045.65,87332.36,143428.42,106630.83
e_1,42.54,112.86,47.59,78.24,110.18,308.37,7154.54,17251.88,17034.3,32806.74,31117.61,41450.95,93514.95,103806.2,135347.6,112683.08
d_1,45.21,49.8,119.25,58.35,119.87,310.74,6795.95,25992.78,13274.65,10811.04,31773.81,34922.7,81629.35,81038.07,114253.36,161034.17
c_1,40.69,39.3,55.26,134.23,177.86,357.61,6455.71,7759.44,13323.2,14884.07,22325.71,29348.63,80877.97,71950.79,127154.83,120931.21
b_1,33.52,36.96,45.58,46.08,218.89,499.79,5194.13,12160.46,10937.13,14737.98,16406.43,26305.0,65288.55,67791.4,85402.77,99239.32
a_1,19.46,29.54,32.16,35.13,47.89,597.6,3420.64,9011.85,10109.06,10623.95,17763.2,19044.34,48154.71,29138.23,67866.84,70940.94
h_1,14.92,12.14,16.66,15.78,28.87,102.36,2968.25,4117.58,5639.48,5454.79,9338.05,8855.82,15827.01,20585.65,47798.84,35497.86
c_0,11.18,10.29,9.71,12.13,20.28,78.55,1512.44,4976.59,4460.62,4946.51,11895.07,8186.96,19197.28,23130.5,25407.1,32356.32
g_1,8.51,9.73,15.4,13.19,24.92,65.19,1200.21,3011.32,6113.5,3420.75,5991.4,8851.5,13861.88,18367.59,16064.26,29848.28
d_0,9.27,7.66,9.38,22.14,21.89,71.99,1331.24,2360.21,3581.46,5646.5,6846.1,6789.71,17253.42,19750.89,32143.78,31109.91
b_0,8.84,8.37,9.71,13.34,10.85,55.67,991.72,2282.97,2948.81,3578.78,8510.57,5990.04,15792.34,29882.29,24016.99,24260.76
f_0,6.38,6.55,10.05,12.02,20.25,64.28,1227.99,2668.96,2625.39,3250.53,4909.24,9041.75,13541.17,16836.06,17467.35,46606.23
h_0,7.99,6.31,7.21,8.47,13.64,44.99,632.03,1993.04,3124.38,2432.85,3974.12,4216.13,9102.73,10721.55,19172.4,13646.51
a_0,5.75,5.31,8.52,8.2,14.27,29.83,895.7,1829.32,1804.52,2560.25,3069.29,4082.23,11951.52,18442.72,16420.81,20335.55
g_0,4.36,5.32,8.88,7.64,13.49,34.31,659.37,2018.25,1848.22,2047.66,3472.23,5788.17,9392.62,8160.54,11347.73,18176.77
e_0,5.61,3.81,5.92,7.83,11.99,40.29,674.7,1937.68,1400.63,1957.53,2961.57,3000.99,10378.04,8128.04,14437.45,26162.98
