,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.92,0.92,0.75,0.61,0.42,0.47,0.39,0.42,0.42,0.39,0.31,0.26,0.31,0.32
e_1,0.83,1.0,0.98,1.1,0.93,0.66,0.51,0.5,0.39,0.55,0.49,0.41,0.35,0.35,0.34,0.33
d_1,1.1,1.01,1.0,0.85,0.92,0.69,0.5,0.37,0.55,0.39,0.37,0.43,0.32,0.34,0.3,0.24
c_1,1.11,0.91,1.16,1.0,1.3,0.8,0.54,0.51,0.39,0.33,0.42,0.38,0.34,0.36,0.34,0.33
b_1,1.31,1.08,1.09,0.75,1.0,1.02,0.55,0.49,0.55,0.44,0.44,0.45,0.41,0.38,0.37,0.34
a_1,1.58,1.48,1.44,1.26,1.01,1.0,0.79,0.63,0.64,0.58,0.54,0.67,0.51,0.5,0.47,0.46
h_1,2.32,2.0,2.05,1.84,1.79,1.25,1.0,0.97,0.78,0.79,0.83,0.75,0.7,0.65,0.69,0.75
g_1,2.15,1.96,2.61,1.97,2.02,1.56,1.03,1.0,0.93,0.83,1.04,0.85,0.63,0.71,0.74,0.65
c_0,2.6,2.6,1.86,2.47,1.77,1.5,1.25,1.11,1.0,1.21,0.98,1.29,0.86,0.81,0.83,0.74
d_0,2.46,1.91,2.51,3.0,2.39,1.71,1.28,1.15,0.8,1.0,0.96,0.93,0.83,0.88,0.83,0.86
f_0,2.32,2.1,2.65,2.29,2.26,1.85,1.21,0.97,1.05,1.03,1.0,0.99,0.94,1.28,0.84,0.64
b_0,2.51,2.37,2.33,2.7,2.16,1.58,1.29,1.13,0.8,1.1,0.98,1.0,0.93,0.88,1.11,0.76
h_0,3.16,2.96,3.08,2.88,2.43,1.89,1.44,1.59,1.19,1.19,1.08,1.12,1.0,0.83,0.84,0.97
e_0,3.78,2.84,2.91,2.83,2.71,2.06,1.61,1.32,1.22,1.15,0.8,1.14,1.16,1.0,0.99,0.85
a_0,3.31,2.97,3.24,2.97,2.69,2.0,1.42,1.3,1.24,1.25,1.24,0.95,1.2,0.99,1.0,0.97
g_0,3.2,3.19,3.95,3.08,2.98,2.26,1.3,1.58,1.33,1.16,1.52,1.37,1.08,1.17,1.03,1.0
