,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,35.18,0.06,0.06,0.06,0.08,0.06,0.31,0.65,0.4,0.25,0.38,0.33,0.44,0.4,0.5,
f_1,0.1,36.49,0.07,0.08,0.06,0.07,0.35,0.4,0.29,0.3,0.29,,0.59,0.36,0.53,0.26
d_1,0.07,0.07,36.57,0.06,0.06,0.06,0.22,,0.59,0.31,0.38,0.44,0.66,0.48,0.66,0.46
c_1,0.07,0.06,0.06,42.91,0.12,0.11,0.26,0.45,,0.21,0.27,0.41,0.54,0.37,0.59,0.53
b_1,0.09,0.09,0.05,0.11,53.62,0.08,0.23,0.3,0.3,0.22,,0.38,0.66,,0.45,0.47
a_1,0.08,0.04,0.08,0.06,0.09,83.55,0.3,0.47,0.33,,0.43,,0.74,,0.45,
h_1,0.26,0.37,0.24,0.29,0.21,0.24,26.78,1.33,1.86,1.62,1.15,1.04,,,3.35,1.44
d_0,0.3,0.28,,0.6,0.41,0.42,1.68,15.59,2.12,1.59,2.17,2.1,3.88,1.84,2.79,1.92
c_0,0.32,0.35,0.32,,0.26,0.29,1.52,2.23,16.13,1.44,4.36,1.96,2.83,2.43,2.81,2.26
g_1,0.23,0.25,0.45,0.25,0.17,0.3,0.79,1.54,1.44,35.25,1.26,1.6,2.6,1.54,,1.22
b_0,0.19,0.45,0.36,0.3,,,2.1,1.45,2.39,1.52,19.02,2.42,3.76,3.46,2.19,1.58
f_0,0.25,,0.37,0.24,0.36,0.39,1.16,2.42,2.74,1.76,1.67,23.7,3.32,1.76,2.5,4.21
h_0,0.6,0.7,0.48,0.6,0.53,0.46,,2.78,3.55,2.36,2.89,2.38,,3.02,8.03,
a_0,0.36,0.34,0.35,0.23,0.34,,1.17,2.56,2.68,1.34,1.91,2.17,2.24,30.27,2.08,2.54
g_0,0.44,0.44,0.8,0.6,0.68,0.54,2.37,2.86,1.94,,3.05,5.8,3.8,,,3.05
e_0,,0.25,0.51,0.34,0.48,,2.99,1.94,,1.8,2.23,,2.98,,2.85,31.42
