,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.17,18.74,8.94,11.22,10.98,14.3,3.13,2.6,2.67,5.65,3.11,2.19,1.34,1.97,,3.48
d_1,21.08,0.17,12.89,16.67,11.04,17.5,4.43,,2.36,2.14,2.58,1.93,2.36,0.81,3.05,1.99
f_1,13.17,12.56,0.16,14.49,11.54,10.65,3.48,2.23,2.12,3.44,2.81,,1.09,3.44,3.42,2.48
c_1,12.66,12.09,12.26,0.16,15.94,13.01,3.33,1.19,,3.67,3.2,3.42,2.14,1.76,2.81,2.45
b_1,11.28,16.34,16.16,7.12,0.14,,3.4,2.82,2.75,3.1,,1.99,2.2,1.54,2.25,3.28
a_1,20.43,18.67,10.26,14.38,,0.09,3.75,2.24,2.28,,3.7,2.91,1.83,1.55,,
h_1,3.49,3.52,3.69,2.33,3.94,2.5,0.07,0.92,1.11,1.08,0.46,0.6,,0.41,0.66,0.61
d_0,1.56,,3.06,2.42,2.92,2.16,0.6,0.08,0.57,0.75,0.74,0.41,0.34,0.34,0.58,0.48
c_0,3.09,1.31,2.58,,2.66,2.19,0.67,0.6,0.09,0.68,0.49,0.47,0.32,0.57,0.42,0.47
g_1,3.0,3.48,4.04,4.37,2.67,,0.58,0.85,0.97,0.05,0.85,0.91,0.3,,0.58,
b_0,4.35,2.37,2.55,3.46,,3.01,0.64,0.49,0.23,0.7,0.07,0.58,0.46,0.56,0.52,0.51
f_0,2.54,2.57,,2.28,2.77,2.42,0.81,0.67,0.42,0.37,0.47,0.07,0.34,0.24,0.62,0.53
h_0,1.43,1.4,1.52,2.07,1.49,2.04,,0.34,0.34,0.58,0.42,0.35,,0.29,0.26,0.2
g_0,1.24,2.01,1.84,2.04,2.39,2.11,0.39,0.37,0.33,,0.33,0.35,0.18,,0.27,0.39
e_0,,2.25,2.44,1.81,3.56,,0.74,0.94,0.48,0.7,0.42,0.3,0.43,0.32,0.05,
a_0,3.48,2.38,1.89,2.74,3.03,,0.72,0.38,0.66,,0.25,0.62,0.39,0.42,,0.05
