,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,35.69,0.05,0.07,0.07,0.07,0.08,0.32,0.7,0.24,0.34,0.39,0.4,0.52,0.25,0.5,
f_1,0.11,37.66,0.08,0.06,0.07,0.04,0.34,0.32,0.27,0.39,0.37,,0.78,0.37,0.4,0.28
d_1,0.08,0.06,39.31,0.05,0.07,,0.3,,0.42,0.77,0.32,0.39,0.49,0.41,0.57,0.29
c_1,0.06,0.07,0.06,43.26,0.16,0.06,0.31,0.45,0.3,,0.37,0.32,0.57,0.34,0.58,0.3
b_1,0.06,0.06,0.08,0.06,50.33,0.16,0.21,0.49,0.24,0.35,,0.45,0.34,0.41,0.44,0.56
a_1,0.06,0.08,0.07,0.09,0.06,70.86,0.25,0.45,0.27,0.31,0.21,0.26,0.55,,0.69,0.4
h_1,0.22,0.4,0.25,0.2,0.18,0.35,29.23,1.5,1.26,1.73,1.39,1.16,,1.26,3.15,1.9
d_0,0.34,0.37,,0.7,0.36,0.4,1.36,17.18,1.26,1.76,1.65,1.97,3.67,1.9,3.41,1.62
g_1,0.23,0.26,0.39,0.29,0.26,,1.02,1.09,35.7,1.39,1.83,1.69,2.93,1.43,,
c_0,0.31,0.5,0.28,,0.18,0.31,1.99,1.29,1.45,19.5,3.48,1.72,2.9,1.67,3.93,2.14
b_0,0.31,0.33,0.28,0.27,,0.44,1.67,2.17,1.18,1.8,20.86,1.72,3.99,3.25,3.28,2.09
f_0,0.31,,0.31,0.37,0.29,0.33,2.07,2.18,1.15,1.79,1.87,22.06,3.25,2.24,2.51,3.8
h_0,0.52,0.74,0.59,0.49,0.54,0.5,,2.43,3.59,2.95,3.2,3.41,,2.88,5.0,2.59
a_0,0.32,0.23,0.37,0.31,0.41,,1.09,2.58,1.55,2.36,1.71,1.4,3.76,33.01,3.27,
g_0,0.59,0.38,0.92,0.46,0.56,0.44,2.01,2.72,,1.82,3.23,5.73,4.16,2.28,,3.33
e_0,,0.42,0.36,0.66,0.29,0.51,1.02,1.64,1.14,1.72,1.99,2.43,2.78,2.09,2.32,33.16
