,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,0.7,1.18,1.26,1.22,1.1,0.37,0.37,0.27,0.24,0.24,0.33,0.17,0.24,0.19,0.38
f_1,1.04,0.43,1.09,1.24,1.03,1.14,0.24,0.38,0.25,0.22,0.22,0.37,0.12,0.23,0.16,0.22
d_1,1.37,1.29,0.4,1.25,1.13,1.06,0.35,0.23,0.44,0.27,0.24,0.26,0.17,0.22,0.12,0.22
c_1,0.97,1.31,1.4,0.41,1.36,1.33,0.35,0.36,0.15,0.32,0.24,0.22,0.18,0.23,0.19,0.22
b_1,1.44,1.48,1.56,0.74,0.38,1.26,0.39,0.42,0.27,0.39,0.53,0.29,0.21,0.34,0.26,0.23
a_1,1.85,1.73,1.61,2.0,0.82,0.31,0.63,0.49,0.44,0.37,0.5,0.35,0.25,0.64,0.23,0.31
h_1,2.09,2.46,1.91,2.18,2.13,2.04,0.3,0.57,0.46,0.41,0.4,0.42,0.43,0.41,0.32,0.38
g_1,2.59,2.41,2.4,2.39,2.29,2.49,0.5,0.28,0.54,0.48,0.42,0.46,0.25,0.41,0.4,0.4
d_0,1.45,2.4,3.16,2.33,2.93,2.28,0.71,0.9,0.34,0.48,0.56,0.51,0.45,0.46,0.49,0.46
c_0,2.45,2.71,1.45,3.56,2.53,2.18,0.77,0.81,0.65,0.33,0.58,0.52,0.39,0.49,0.37,0.48
b_0,2.46,2.56,2.04,4.2,3.97,2.64,0.66,0.7,0.6,0.29,0.3,0.49,0.35,0.5,0.31,0.48
f_0,2.57,4.38,2.5,2.43,2.49,2.05,0.78,0.47,0.59,0.6,0.49,0.29,0.4,0.54,0.25,0.53
h_0,3.14,2.9,2.78,3.12,2.85,2.28,1.05,0.83,0.58,0.58,0.66,0.55,0.64,0.51,0.43,0.48
a_0,2.79,3.21,2.88,3.38,3.87,5.07,0.84,0.89,0.68,0.54,0.36,0.67,0.48,0.28,0.41,0.47
g_0,3.26,4.12,3.04,3.92,3.67,2.6,0.73,1.09,0.74,0.62,0.63,0.61,0.32,0.61,0.53,0.52
e_0,4.71,5.05,3.01,3.3,3.49,2.84,1.07,0.71,0.63,0.6,0.7,0.38,0.52,0.63,0.42,0.29
