,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.44,0.62,0.9,0.95,0.94,0.82,0.25,0.21,0.28,0.17,0.19,0.22,0.21,0.13,0.14,0.24
f_1,0.82,0.43,0.82,0.92,0.95,0.81,0.2,0.19,0.31,0.17,0.17,0.22,0.18,0.1,0.14,0.14
d_1,1.1,1.04,0.41,0.9,0.84,0.84,0.23,0.27,0.17,0.19,0.19,0.18,0.17,0.13,0.09,0.16
c_1,0.79,0.98,1.24,0.4,1.01,0.89,0.31,0.12,0.27,0.23,0.19,0.2,0.17,0.13,0.13,0.18
b_1,1.1,1.32,1.2,0.65,0.35,1.2,0.33,0.22,0.33,0.3,0.32,0.26,0.23,0.2,0.18,0.2
a_1,1.3,1.33,1.31,1.22,0.68,0.31,0.4,0.3,0.39,0.29,0.43,0.31,0.43,0.17,0.2,0.26
h_1,1.62,1.71,1.57,1.65,1.54,1.36,0.29,0.38,0.46,0.34,0.33,0.39,0.34,0.27,0.25,0.34
d_0,1.28,1.79,2.59,2.06,2.21,1.98,0.66,0.31,0.61,0.37,0.39,0.42,0.4,0.26,0.31,0.41
g_1,1.97,2.04,2.1,1.95,1.75,1.61,0.5,0.45,0.26,0.45,0.41,0.46,0.38,0.2,0.37,0.36
c_0,2.33,2.1,1.31,2.74,2.04,1.78,0.62,0.63,0.55,0.3,0.46,0.46,0.44,0.33,0.33,0.36
b_0,2.08,2.3,1.79,2.57,2.71,1.78,0.64,0.51,0.53,0.26,0.3,0.44,0.46,0.32,0.28,0.41
f_0,2.14,3.02,1.96,2.17,1.91,1.73,0.61,0.49,0.37,0.41,0.38,0.28,0.4,0.31,0.21,0.42
a_0,2.23,2.48,2.06,2.91,2.92,3.01,0.72,0.54,0.57,0.39,0.28,0.45,0.26,0.32,0.3,0.45
h_0,2.37,2.53,2.19,2.62,2.33,2.13,0.87,0.57,0.77,0.48,0.5,0.49,0.5,0.48,0.36,0.44
g_0,2.57,2.82,2.43,2.91,2.47,1.92,0.61,0.58,0.8,0.46,0.48,0.49,0.55,0.28,0.44,0.46
e_0,3.24,3.52,2.76,2.39,2.4,2.36,0.68,0.56,0.55,0.5,0.46,0.29,0.44,0.34,0.31,0.27
