,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,1.12,0.95,1.06,0.96,0.93,0.41,0.57,0.34,0.38,0.37,0.39,0.37,0.26,0.29,0.31
e_1,0.75,0.65,1.13,1.27,1.06,1.05,0.5,0.53,0.4,0.51,0.41,0.46,0.39,0.33,0.5,0.34
d_1,1.26,1.14,0.64,1.06,0.99,0.89,0.45,0.35,0.46,0.47,0.42,0.36,0.34,0.29,0.37,0.23
c_1,1.17,0.93,1.21,0.63,1.34,0.94,0.5,0.49,0.49,0.27,0.36,0.4,0.37,0.32,0.37,0.32
b_1,1.28,1.27,1.26,0.75,0.62,1.2,0.58,0.56,0.52,0.44,0.52,0.44,0.37,0.34,0.4,0.32
a_1,1.54,1.41,1.42,1.34,0.83,0.56,0.64,0.58,0.5,0.54,0.68,0.54,0.69,0.46,0.58,0.44
h_1,1.84,1.64,1.78,1.59,1.56,1.45,0.56,0.78,0.59,0.62,0.59,0.63,0.59,0.59,0.52,0.55
g_1,1.93,1.73,2.08,1.82,1.73,1.69,0.69,0.53,0.77,0.71,0.71,0.72,0.58,0.47,0.64,0.66
c_0,2.21,1.95,1.29,2.62,1.82,1.72,1.02,0.76,0.57,0.96,0.9,0.73,0.71,0.56,0.67,0.6
d_0,1.83,1.21,2.75,2.4,2.09,1.84,0.93,0.91,0.64,0.58,0.66,0.72,0.64,0.6,0.71,0.6
b_0,2.0,1.94,1.71,2.47,2.41,1.79,0.93,0.86,0.46,0.82,0.55,0.69,0.78,0.67,0.75,0.58
f_0,2.91,1.98,2.11,1.81,1.98,1.83,0.91,0.66,0.73,0.77,0.78,0.55,0.74,0.61,0.83,0.41
a_0,2.34,2.19,2.24,2.37,2.6,2.28,0.96,0.99,0.73,0.86,0.52,0.82,0.55,0.72,0.79,0.61
h_0,2.44,2.2,2.35,2.18,2.22,1.88,1.05,0.97,0.83,0.78,0.73,0.76,0.65,0.84,0.65,0.67
e_0,3.14,2.81,2.23,2.36,2.3,1.67,1.12,0.83,0.83,0.85,0.76,0.51,0.8,0.73,0.52,0.57
g_0,2.46,2.43,2.72,2.38,2.46,1.89,0.87,1.07,0.87,0.92,0.84,0.93,0.8,0.59,0.88,0.73
