,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.1,0.81,0.95,0.71,0.49,0.55,0.38,0.36,0.38,0.41,0.36,0.32,0.31,0.37
f_1,1.26,1.0,0.97,0.85,0.79,0.57,0.36,0.42,0.33,0.31,0.34,0.27,0.27,0.34,0.24,0.3
c_1,0.91,1.04,1.0,1.25,1.2,0.72,0.5,0.31,0.33,0.3,0.36,0.32,0.3,0.28,0.38,0.3
d_1,1.24,1.17,0.79,1.0,0.89,0.8,0.52,0.52,0.57,0.52,0.38,0.39,0.37,0.36,0.33,0.27
b_1,1.06,1.27,0.84,1.13,1.0,1.26,0.58,0.59,0.47,0.48,0.4,0.47,0.44,0.38,0.34,0.3
a_1,1.4,1.76,1.38,1.25,0.79,1.0,0.7,0.74,0.72,0.65,0.56,0.48,0.54,0.48,0.48,0.44
h_1,1.99,2.81,1.94,1.87,1.8,1.43,1.0,0.76,0.83,0.77,0.81,0.76,0.6,0.61,0.68,0.69
d_0,1.77,2.23,3.18,2.1,1.89,1.46,1.23,1.0,0.78,0.84,0.99,0.77,0.79,0.69,0.81,0.78
c_0,2.88,2.8,2.77,1.71,2.02,1.52,1.21,1.18,1.0,1.18,0.88,0.91,0.82,0.79,0.8,0.65
b_0,2.79,3.27,3.33,2.03,1.9,1.45,1.26,1.19,0.88,1.0,1.03,0.88,0.94,1.24,0.86,0.91
g_1,2.72,2.91,2.66,2.61,2.6,1.85,1.25,1.0,1.1,1.0,1.0,1.01,0.67,0.79,0.78,0.82
f_0,2.29,3.55,3.15,2.64,2.16,1.84,1.39,1.27,1.09,1.11,1.04,1.0,1.01,0.83,1.36,0.7
h_0,2.83,3.72,3.13,2.74,2.39,1.86,1.58,1.21,1.2,1.12,1.56,0.94,1.0,0.91,0.89,0.98
a_0,3.2,3.02,3.7,2.75,2.71,2.01,1.73,1.52,1.12,0.79,1.29,1.25,1.07,1.0,1.03,1.01
e_0,3.05,4.05,2.76,3.23,2.58,2.04,1.46,1.25,1.24,1.2,1.35,0.78,1.16,1.04,1.0,0.96
g_0,2.88,3.33,3.47,3.63,3.28,2.15,1.46,1.26,1.4,1.08,1.22,1.48,1.0,0.96,1.04,1.0
