,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,113.93,52.65,56.3,94.58,100.12,297.4,9218.85,10079.28,30612.39,18552.65,24880.66,36894.44,112592.89,102686.05,114394.78,223846.77
d_1,57.3,124.37,67.92,65.32,91.44,270.69,10011.49,9511.41,11947.73,27097.37,24057.98,33902.46,87053.12,108979.84,126557.21,204250.52
f_1,81.01,54.31,124.11,78.89,91.27,261.07,6696.78,9320.54,15078.26,16844.85,20893.56,25140.67,97815.22,101321.46,111655.65,227615.02
c_1,47.35,59.83,61.36,151.33,138.0,208.78,7503.26,9215.15,13147.23,9067.16,13913.73,23304.59,92989.71,86142.61,117084.28,166922.49
b_1,44.53,52.81,53.01,56.54,178.53,443.95,9246.82,9030.24,14682.86,14664.97,10664.76,25035.68,80834.87,60361.81,103458.51,176653.29
a_1,33.0,42.64,35.85,50.17,44.69,451.5,5202.5,7506.08,10164.69,10549.07,15075.83,23823.34,71252.72,36713.72,85229.68,145921.56
h_1,13.26,14.82,21.92,21.29,19.95,77.38,3678.88,3296.04,4327.71,4566.19,5937.16,7616.83,21365.01,23095.52,30196.11,63574.12
g_1,11.69,21.23,15.76,19.43,22.72,57.2,2103.38,4188.15,3408.77,4795.81,5451.75,10700.23,23279.36,19183.0,33787.08,43015.14
d_0,8.77,11.34,14.09,29.84,20.64,53.95,1948.0,2431.72,4994.52,3254.18,4894.65,7035.21,22727.06,19164.89,32237.92,45438.28
c_0,11.48,12.69,13.33,14.59,17.81,66.76,2049.31,2352.56,3779.53,5176.48,8033.38,8136.44,24048.03,22132.73,33436.78,43497.35
b_0,9.61,13.36,13.05,19.21,15.55,55.74,1796.06,2301.77,3364.83,2887.84,6240.9,7555.46,20879.44,31034.03,27387.73,40192.25
f_0,8.39,11.65,9.3,16.0,15.28,49.52,1754.37,1761.83,3320.26,2930.64,3727.43,8421.82,21984.7,15317.64,45115.58,34536.21
h_0,6.2,9.1,10.43,10.81,12.33,30.2,923.51,1595.93,2164.42,1983.1,2879.53,3677.0,10447.98,11519.07,16663.96,33413.89
a_0,6.36,6.84,8.06,10.95,13.7,28.04,1338.97,1565.88,2157.78,2020.12,2708.49,5122.8,14669.52,18602.51,19242.85,26169.84
e_0,4.4,8.64,8.42,9.88,9.82,26.21,1189.9,1063.1,2015.86,1938.81,2688.41,3092.92,13688.06,11621.5,24722.48,23375.78
g_0,5.08,8.13,5.95,8.47,8.46,26.28,811.11,824.12,1590.78,1754.54,2368.87,4816.47,9644.82,10802.06,13928.0,17051.92
