,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.1,3.49,3.7,3.01,3.05,2.86,0.85,1.09,0.59,0.53,0.59,0.52,0.43,0.59,0.56,0.27
f_1,2.7,1.1,3.1,3.24,3.1,2.47,0.63,0.76,0.58,1.05,0.64,0.97,0.35,0.64,0.57,0.5
e_1,3.52,1.85,1.1,3.7,3.78,3.23,0.89,0.77,0.71,1.21,0.7,0.82,0.53,0.68,0.92,0.66
c_1,4.65,3.44,2.77,1.11,3.05,2.92,0.98,0.42,0.98,0.93,0.69,0.66,0.48,0.65,0.71,0.5
b_1,4.32,4.47,3.77,2.19,1.12,5.04,1.19,0.73,1.06,1.03,1.59,0.73,0.59,0.84,0.69,0.55
a_1,4.97,5.87,5.8,5.88,2.67,1.13,1.51,1.07,1.23,1.65,1.59,1.49,0.76,2.18,1.33,0.83
h_1,10.92,11.08,11.64,12.27,10.56,10.08,1.63,2.62,2.32,3.64,2.33,2.44,2.14,1.94,2.33,1.92
d_0,23.51,12.28,7.63,14.76,13.28,14.35,5.04,1.98,3.18,4.86,3.44,3.93,2.36,2.71,3.1,3.08
c_0,8.22,15.19,14.96,21.07,17.88,14.35,4.45,4.62,1.94,4.32,2.95,2.7,2.32,2.62,2.74,2.09
g_1,13.56,14.44,14.02,16.85,15.16,13.69,3.44,3.08,2.8,1.66,2.98,2.96,1.48,2.46,2.58,2.68
b_0,12.5,17.89,16.84,23.37,22.31,14.76,4.72,3.47,1.94,4.24,1.9,2.95,2.2,2.89,3.51,2.31
f_0,16.25,25.35,18.41,18.62,17.99,16.54,4.75,4.15,3.11,3.18,3.77,1.96,2.58,3.64,3.07,1.69
h_0,22.18,22.16,20.19,22.39,21.79,18.13,8.53,4.75,4.28,5.88,4.08,4.42,4.22,3.85,3.41,3.2
a_0,19.06,26.3,22.95,23.9,33.6,33.34,8.28,4.91,3.89,8.7,2.88,4.61,3.14,2.25,4.83,3.27
e_0,22.9,37.09,32.53,23.9,24.9,23.49,6.69,6.24,5.37,5.83,5.3,2.47,3.63,4.62,2.3,2.82
g_0,27.98,29.86,28.64,32.67,30.65,27.56,6.53,6.3,6.04,9.71,6.19,5.67,3.1,5.7,4.54,5.0
