,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,0.99,0.86,1.1,0.98,0.9,0.79,1.43,1.01,1.04,1.05,0.9,0.85,1.0,0.87
f_1,0.92,1.0,1.36,1.01,0.87,1.03,0.89,1.02,0.95,0.99,0.99,0.62,0.84,0.96,0.91,1.05
e_1,1.01,0.74,1.0,1.08,1.1,0.92,1.18,1.11,0.98,0.95,1.39,1.06,1.08,1.06,1.28,1.02
c_1,1.16,0.99,0.93,1.0,1.42,0.86,0.96,1.04,0.9,0.85,0.74,1.05,0.96,1.05,0.87,1.14
b_1,0.91,1.14,0.91,0.7,1.0,1.9,1.04,0.91,1.07,0.76,0.91,0.81,1.02,1.11,0.93,0.96
a_1,1.03,0.97,1.09,1.17,0.53,1.0,1.23,1.04,0.99,1.37,1.22,1.0,1.37,1.09,1.13,1.01
h_1,1.13,1.15,0.83,1.08,0.99,0.8,1.0,1.19,0.95,0.97,0.84,0.98,0.84,0.9,1.0,1.14
g_1,1.27,0.99,0.89,0.97,1.0,0.9,0.84,1.0,0.81,0.94,0.78,1.17,0.96,0.94,0.84,1.02
c_0,0.71,1.15,1.08,1.16,0.94,1.04,1.07,1.17,1.0,1.45,1.06,1.35,1.13,1.11,1.15,1.13
b_0,0.93,1.08,1.04,1.2,1.2,0.75,1.01,1.03,0.69,1.0,1.09,1.04,0.96,1.33,0.97,0.94
d_0,0.92,1.05,0.69,1.4,1.06,0.81,1.25,1.29,0.97,0.94,1.0,1.05,1.05,1.01,1.15,0.85
f_0,1.01,1.44,0.9,0.96,1.18,1.01,0.96,0.84,0.77,0.93,0.95,1.0,1.02,0.83,1.54,0.77
h_0,1.08,1.19,0.92,1.04,1.03,0.7,1.18,1.07,0.86,1.05,0.93,1.03,1.0,0.87,1.04,1.14
a_0,1.16,1.03,0.9,1.01,0.92,0.8,1.14,1.05,0.94,0.72,1.04,1.23,1.22,1.0,0.84,1.31
e_0,0.97,1.1,0.78,1.16,1.01,0.82,0.94,1.21,0.85,1.01,0.85,0.62,0.96,1.2,1.0,1.03
g_0,1.07,0.94,1.01,0.95,1.02,0.93,0.88,1.0,0.91,1.03,1.18,1.19,0.88,0.7,0.98,1.0
