,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.55,0.76,0.92,0.97,0.78,0.47,0.44,0.37,0.53,0.38,0.48,0.36,0.4,0.72,0.35
f_1,0.85,0.41,0.77,0.9,0.74,0.66,0.34,0.36,0.34,0.5,0.37,0.5,0.24,0.3,0.35,0.39
d_1,1.0,0.87,0.39,0.78,0.82,0.75,0.39,0.46,0.37,0.28,0.34,0.33,0.32,0.36,0.31,0.22
c_1,0.68,0.78,1.08,0.38,0.9,0.78,0.46,0.23,0.5,0.43,0.36,0.32,0.3,0.32,0.38,0.31
b_1,0.75,0.99,0.82,0.49,0.35,1.09,0.47,0.38,0.47,0.56,0.63,0.41,0.32,0.45,0.34,0.29
a_1,0.86,0.94,0.84,0.88,0.47,0.31,0.55,0.42,0.33,0.4,0.38,0.35,0.32,0.71,0.37,0.39
h_1,0.76,0.73,0.71,0.78,0.72,0.64,0.25,0.35,0.3,0.42,0.33,0.32,0.31,0.28,0.25,0.3
d_0,0.47,0.71,1.13,0.79,0.79,0.64,0.43,0.26,0.34,0.44,0.32,0.35,0.29,0.34,0.35,0.35
c_0,0.8,0.79,0.47,1.24,0.69,0.82,0.4,0.41,0.25,0.4,0.36,0.31,0.26,0.35,0.32,0.26
g_1,0.65,0.75,0.81,0.83,0.61,0.94,0.31,0.33,0.3,0.22,0.33,0.32,0.21,0.28,0.31,0.31
b_0,0.66,0.75,0.68,0.85,0.85,0.71,0.38,0.35,0.22,0.41,0.24,0.32,0.28,0.4,0.29,0.28
f_0,0.66,1.06,0.72,0.79,0.69,0.76,0.38,0.32,0.34,0.27,0.29,0.23,0.29,0.27,0.34,0.19
h_0,0.64,0.86,0.68,0.76,0.69,0.66,0.47,0.31,0.33,0.44,0.3,0.28,0.35,0.29,0.31,0.28
a_0,0.65,0.79,0.71,0.83,0.86,0.91,0.36,0.33,0.29,0.51,0.19,0.35,0.3,0.2,0.28,0.23
e_0,0.81,1.04,0.73,0.68,0.63,0.64,0.49,0.34,0.33,0.32,0.34,0.19,0.27,0.33,0.19,0.25
g_0,0.75,0.69,0.75,0.71,0.76,0.64,0.32,0.32,0.33,0.49,0.32,0.35,0.23,0.31,0.33,0.34
