,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.57,2.62,2.91,2.7,2.82,0.67,1.11,0.52,0.58,0.57,0.73,0.33,0.59,0.47,0.45
e_1,1.79,1.11,3.32,3.59,3.19,3.29,0.88,0.97,0.64,0.73,0.67,0.78,0.47,0.63,1.05,0.52
d_1,3.62,3.35,1.1,3.14,2.88,2.6,0.79,0.58,0.64,0.96,0.67,0.58,0.39,0.54,0.61,0.3
c_1,3.56,2.82,3.84,1.11,3.67,2.94,0.96,1.0,1.1,0.42,0.65,0.67,0.49,0.66,0.67,0.5
b_1,4.15,4.35,4.15,2.18,1.12,3.48,1.23,1.22,1.06,0.88,1.24,0.83,0.55,0.78,0.78,0.53
a_1,6.71,6.19,5.79,5.45,2.99,1.14,1.7,1.61,1.22,1.38,1.93,1.39,1.01,2.19,1.54,0.94
h_1,11.08,10.41,11.3,10.15,10.24,9.9,1.66,3.08,2.24,2.31,2.18,2.29,2.04,2.11,1.91,1.7
g_1,15.54,13.25,14.09,13.62,13.7,13.79,2.99,1.64,3.27,3.16,3.17,2.74,1.56,2.41,2.69,2.83
c_0,16.94,14.86,8.61,25.46,15.44,14.1,5.08,3.7,2.0,4.7,3.52,3.3,2.12,3.04,3.0,2.33
d_0,14.04,8.52,26.36,16.97,17.47,16.18,4.75,4.78,3.22,2.07,3.06,3.28,2.29,2.93,3.46,2.59
b_0,16.0,16.07,13.7,21.13,24.3,18.43,4.65,4.59,1.89,3.93,1.98,3.28,2.72,3.08,3.59,2.31
f_0,28.83,18.03,17.84,15.08,17.69,17.07,4.88,3.26,3.68,3.81,3.83,2.02,2.5,3.8,3.49,1.59
h_0,23.61,22.91,23.51,22.51,22.91,20.68,7.34,5.9,4.84,4.6,4.36,4.4,5.39,3.69,3.7,3.23
a_0,23.75,22.47,22.02,23.89,28.52,31.54,5.87,6.39,4.08,5.08,2.6,4.98,3.45,2.34,4.78,2.91
e_0,34.97,36.61,23.35,26.32,25.64,20.23,7.53,5.47,5.03,5.43,4.61,2.75,3.69,4.94,2.23,2.96
g_0,29.51,30.35,29.74,28.24,29.11,22.98,6.15,9.24,5.8,6.65,5.79,5.56,3.13,5.12,5.85,4.59
