,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.04,1.13,0.9,0.92,0.91,1.03,0.82,1.24,0.98,1.13,0.98,0.96,1.02,0.98,0.84
e_1,0.95,1.0,0.77,1.21,1.1,1.01,1.06,1.09,0.97,1.32,0.97,1.29,1.09,1.06,1.05,1.11
f_1,0.89,1.32,1.0,1.05,0.94,0.83,0.79,1.18,0.93,0.99,0.97,0.86,0.86,0.97,0.8,0.88
c_1,1.11,0.85,0.94,1.0,1.37,1.02,1.0,0.93,0.86,0.71,0.85,1.06,0.93,0.87,0.86,1.07
b_1,1.08,0.88,1.1,0.73,1.0,1.49,1.1,1.02,1.0,0.94,1.04,0.97,0.96,0.87,1.16,1.14
a_1,1.09,0.98,1.2,0.98,0.67,1.0,1.11,1.08,1.0,1.16,1.13,0.93,1.34,1.04,1.12,1.12
h_1,0.94,0.95,1.27,1.02,0.92,0.89,1.0,1.12,0.99,1.02,0.97,0.85,1.05,0.84,0.95,1.14
g_1,1.2,0.88,0.87,1.03,1.0,0.94,0.87,1.0,0.98,0.84,0.96,1.1,0.88,1.02,1.14,0.91
c_0,0.82,1.05,1.01,1.13,0.96,1.01,1.03,1.05,1.0,1.25,1.3,0.98,1.06,1.08,1.0,0.97
d_0,1.0,0.77,1.01,1.44,1.08,0.85,1.02,1.14,0.79,1.0,0.87,1.05,1.08,0.96,1.08,1.11
b_0,0.92,1.0,0.99,1.18,0.91,0.91,1.04,1.1,0.76,1.09,1.0,0.91,1.18,1.47,0.98,1.07
f_0,0.96,0.77,1.17,0.98,1.03,1.12,1.14,0.89,0.98,0.97,1.04,1.0,1.17,1.02,1.54,0.88
h_0,1.04,0.92,1.16,1.06,1.04,0.77,0.95,1.13,0.97,0.89,0.86,0.85,1.0,1.01,0.82,1.16
a_0,0.98,0.98,1.01,1.17,1.1,1.01,1.16,1.01,0.91,1.02,0.73,1.0,0.98,1.0,0.92,0.95
e_0,1.01,0.98,1.19,1.16,0.93,0.86,1.02,0.92,0.98,0.91,1.0,0.68,1.22,1.1,1.0,1.02
g_0,1.15,0.91,1.13,0.97,0.94,0.91,0.89,1.12,1.02,0.92,0.92,1.21,0.87,1.08,0.98,1.0
