,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.1,1.69,2.81,3.15,2.93,2.55,0.83,0.61,0.57,0.79,0.65,0.85,0.46,0.53,0.65,0.99
f_1,2.53,1.1,2.86,2.87,2.64,2.49,0.62,0.62,0.57,1.02,0.54,0.89,0.29,0.58,0.52,0.53
d_1,3.72,3.32,1.1,3.41,3.38,3.16,0.91,0.94,0.62,0.6,0.62,0.57,0.42,0.57,0.28,0.69
c_1,2.79,3.68,4.77,1.11,3.74,3.11,0.98,0.41,1.09,0.98,0.72,0.64,0.5,0.73,0.49,0.64
b_1,4.17,4.49,5.02,2.22,1.12,4.41,1.18,0.84,1.17,1.46,1.41,0.72,0.7,0.78,0.53,0.7
a_1,6.62,6.29,5.82,6.42,2.66,1.13,1.55,1.34,1.14,1.98,1.64,1.08,0.85,2.12,0.85,0.85
h_1,10.26,11.22,10.33,11.01,11.56,9.41,1.66,2.41,1.95,2.96,2.32,2.07,2.04,1.98,1.71,2.05
d_0,8.78,14.2,20.04,14.26,13.99,14.22,4.01,1.97,3.08,4.51,3.49,3.1,2.19,2.62,2.46,3.0
c_0,15.51,16.85,7.83,26.53,15.82,15.61,5.15,4.49,2.01,3.59,2.98,2.99,2.29,3.13,2.02,3.14
g_1,16.7,19.05,13.86,18.27,17.6,14.22,3.38,4.0,3.26,1.64,3.16,3.01,1.81,3.16,3.16,3.0
b_0,14.16,16.63,13.63,23.29,24.61,15.48,5.09,3.84,1.95,4.23,1.98,2.94,2.08,3.03,2.31,3.84
f_0,17.76,26.14,16.15,18.6,22.72,19.01,5.34,4.02,3.53,3.21,3.69,2.07,2.88,3.92,1.55,2.97
h_0,21.01,24.46,21.05,26.53,23.73,22.86,7.91,5.54,4.46,6.98,4.97,4.33,4.66,4.1,3.35,4.18
a_0,24.89,26.51,25.01,26.3,40.27,40.85,8.6,6.12,4.29,6.98,2.91,5.34,3.61,2.29,3.42,5.59
g_0,29.83,31.59,26.82,28.78,27.69,23.41,6.15,6.72,5.7,12.77,6.67,5.58,3.26,6.74,5.08,6.47
e_0,36.87,43.08,25.2,26.3,27.4,23.41,8.2,6.07,6.13,7.14,5.59,2.87,4.13,6.05,2.84,2.39
