,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,1.37,1.35,1.15,1.27,1.26,0.59,0.74,0.58,0.58,0.55,1.34,0.37,0.57,0.51,0.49
e_1,0.88,0.41,1.63,1.35,1.46,0.98,0.71,1.06,0.63,0.56,0.57,0.73,0.44,0.56,1.03,0.5
c_1,1.26,1.14,0.4,1.46,1.44,1.59,0.71,0.71,0.38,0.88,0.59,0.49,0.44,0.57,0.63,0.47
d_1,1.29,1.52,1.1,0.4,1.36,1.06,0.62,0.5,1.17,0.63,0.68,0.56,0.56,0.59,0.62,0.33
b_1,1.39,1.21,0.9,1.19,0.37,1.73,0.67,0.69,0.68,0.78,1.18,0.59,0.54,0.49,0.51,0.55
a_1,1.52,1.63,1.19,1.37,0.8,0.3,0.84,0.73,0.57,0.5,0.62,0.52,0.57,,0.54,0.44
h_1,1.08,0.94,1.0,0.97,0.89,0.89,0.26,0.57,0.44,0.4,0.44,0.42,0.85,0.44,0.38,0.44
g_1,1.12,0.84,0.94,0.97,0.87,0.94,0.46,0.23,0.44,0.41,0.4,0.51,0.28,0.62,0.47,0.56
d_0,1.09,0.56,1.19,1.89,0.87,1.02,0.53,0.56,0.27,0.4,0.43,0.4,0.38,0.48,0.4,0.47
c_0,0.99,0.92,2.23,0.62,0.92,1.01,0.57,0.54,0.53,0.27,0.46,0.4,0.5,0.51,0.45,0.43
b_0,0.94,0.96,1.07,0.8,2.34,0.9,0.52,0.48,0.46,0.26,0.25,0.53,0.41,0.43,0.5,0.51
f_0,1.63,0.84,0.98,0.9,0.91,0.9,0.56,0.31,0.38,0.47,0.4,0.24,0.39,0.49,0.47,0.35
h_0,1.0,1.07,0.89,0.83,1.01,0.94,0.79,0.62,0.43,0.37,0.35,0.4,0.61,0.42,0.33,0.39
a_0,0.95,0.99,1.06,0.95,0.92,,0.52,0.39,0.44,0.39,0.27,0.47,0.36,0.21,0.41,0.33
e_0,1.27,1.67,0.84,0.96,0.88,0.88,0.56,0.4,0.42,0.39,0.36,0.25,0.52,0.61,0.21,0.38
g_0,1.0,0.85,0.97,1.25,0.88,1.18,0.38,0.67,0.38,0.38,0.37,0.4,0.3,0.46,0.42,0.54
