,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,22.41,0.64,0.3,0.36,0.33,0.25,0.65,0.82,0.73,0.74,0.88,0.15,0.88,0.84,0.74,0.73
e_1,0.38,23.54,0.3,0.31,0.38,0.42,0.67,1.46,0.69,0.58,0.98,0.73,1.05,0.69,0.27,0.9
d_1,0.36,0.36,28.61,0.27,0.36,0.28,0.59,0.2,1.69,0.65,0.84,1.08,0.94,0.99,0.76,0.99
c_1,0.32,0.31,0.38,28.13,0.68,0.32,0.59,0.67,0.13,0.77,0.64,0.76,0.77,0.89,0.9,0.82
b_1,0.29,0.34,0.25,0.38,30.71,0.66,0.93,0.87,0.66,0.66,0.21,0.95,0.97,0.47,0.67,0.95
a_1,0.31,0.35,0.46,0.35,0.27,46.84,0.74,0.81,0.71,0.8,0.6,0.96,0.91,,1.1,0.76
h_1,0.95,0.42,0.58,0.77,0.51,0.71,9.87,1.13,1.47,1.66,1.16,1.36,0.43,2.0,1.57,2.27
d_0,0.7,0.54,0.22,1.47,0.61,0.63,1.75,5.34,1.28,1.33,1.6,1.39,1.78,1.6,1.42,1.24
c_0,0.84,0.69,0.6,0.29,0.47,0.73,1.48,1.21,6.01,1.41,3.68,1.97,1.57,2.07,1.85,1.74
g_1,0.47,0.59,1.39,0.64,0.51,0.47,1.04,1.18,1.21,12.99,1.38,2.73,1.38,1.0,1.38,0.42
b_0,0.87,0.49,0.99,0.86,0.13,0.61,1.63,1.7,1.66,1.32,5.95,1.1,1.59,3.36,1.6,1.36
f_0,0.25,0.42,0.88,0.72,0.72,0.62,2.05,1.55,2.32,1.7,1.46,8.1,1.59,1.64,3.67,2.11
h_0,1.14,0.49,0.74,0.6,0.59,0.79,0.3,1.34,1.28,1.71,1.43,1.46,0.39,0.97,1.51,1.89
a_0,0.74,0.63,0.79,0.89,0.55,,1.87,1.67,1.98,1.41,1.91,1.28,1.78,8.67,1.41,0.97
e_0,0.7,0.23,0.82,0.77,0.7,0.81,2.51,1.82,1.86,1.39,1.77,1.18,1.36,1.59,9.6,2.51
g_0,0.59,0.34,1.26,0.62,0.44,0.86,1.58,0.98,1.75,0.62,2.18,2.61,1.49,1.27,1.78,0.85
