,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.22,1.14,1.35,1.42,3.12,15.11,29.66,32.94,30.06,41.29,41.41,78.48,77.06,76.77,126.11
e_1,0.82,1.0,1.07,1.66,1.67,3.4,17.72,42.37,33.73,31.5,46.02,44.53,85.92,91.83,101.15,125.07
d_1,0.88,0.91,1.0,0.95,1.21,2.94,14.02,24.68,20.46,34.77,35.98,37.53,69.35,69.9,74.38,85.33
c_1,0.75,0.62,1.08,1.0,1.63,2.88,12.48,17.61,24.25,23.27,32.21,28.29,64.58,63.42,66.22,94.91
b_1,0.69,0.6,0.81,0.62,1.0,3.37,10.9,17.17,20.6,21.63,26.52,25.22,50.7,58.42,53.56,82.47
a_1,0.32,0.29,0.34,0.35,0.3,1.0,5.3,8.86,9.4,9.73,11.88,15.19,27.35,25.5,23.86,33.73
h_1,0.07,0.06,0.07,0.08,0.09,0.19,1.0,1.68,2.04,1.8,2.45,2.36,4.51,5.19,4.96,7.87
d_0,0.03,0.02,0.04,0.06,0.06,0.11,0.59,1.0,1.09,0.98,1.31,1.46,2.78,3.16,2.99,4.22
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.49,0.93,1.0,1.0,1.52,1.39,2.75,2.58,3.05,4.33
c_0,0.03,0.03,0.03,0.04,0.05,0.09,0.56,0.97,0.97,1.0,1.3,1.67,2.9,2.83,2.83,3.75
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.43,0.75,0.65,0.74,1.0,1.06,2.1,2.06,3.0,2.3
b_0,0.02,0.02,0.03,0.03,0.04,0.06,0.41,0.69,0.69,0.61,0.96,1.0,2.81,2.22,2.11,2.78
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.37,0.34,0.36,0.47,0.38,1.0,1.15,1.12,1.48
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.32,0.38,0.36,0.46,0.5,0.87,1.0,0.99,1.56
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.3,0.34,0.35,0.37,0.49,0.95,1.04,1.0,1.18
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.23,0.23,0.26,0.47,0.37,0.68,0.65,0.82,1.0
