,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.38,0.65,0.86,0.78,0.72,0.74,1.61,2.9,1.62,1.73,1.78,1.97,1.99,1.54,0.91,2.32
f_1,1.29,2.38,0.77,0.63,0.68,0.58,1.24,1.66,1.44,1.61,1.7,0.75,2.1,1.61,1.45,2.41
c_1,0.62,0.73,2.59,0.74,1.18,0.9,1.57,1.64,1.65,0.77,1.46,1.74,1.79,1.53,1.81,2.16
d_1,0.68,0.96,0.65,2.62,0.74,0.71,1.62,0.9,1.45,2.63,1.71,1.62,2.29,1.9,1.74,1.49
b_1,0.76,0.76,0.79,0.86,2.73,1.25,1.31,1.39,1.18,1.55,0.69,1.65,2.57,1.36,1.45,1.97
a_1,0.81,0.8,0.78,0.94,0.62,3.17,1.54,1.56,1.87,1.62,1.51,1.61,1.97,0.64,1.61,2.05
h_1,0.88,1.53,0.94,0.97,0.96,0.89,3.94,2.04,2.04,1.9,2.09,2.18,1.82,2.68,2.12,2.76
d_0,0.7,1.1,1.71,0.52,1.21,0.96,2.0,3.6,1.77,1.95,2.42,2.48,2.99,2.27,2.58,2.8
g_1,0.88,1.04,0.84,1.41,1.16,0.83,1.73,2.36,4.24,2.33,2.73,2.46,2.52,2.25,2.33,1.95
c_0,1.03,1.21,0.59,1.01,0.73,0.94,2.52,2.2,2.06,3.86,4.24,2.54,2.82,2.94,2.78,3.11
b_0,1.08,1.09,1.0,1.13,0.51,1.0,2.61,1.86,1.6,1.83,3.96,2.47,2.4,4.58,2.26,3.58
f_0,0.84,0.73,1.1,1.09,1.17,1.06,2.02,2.32,1.95,2.21,2.86,4.09,2.63,2.31,4.69,2.09
h_0,0.96,1.32,1.11,0.93,0.88,1.04,1.15,1.84,2.18,1.85,2.55,2.43,1.64,2.3,2.81,3.07
a_0,1.11,1.03,1.34,1.1,0.86,,1.62,2.48,1.78,2.17,1.89,2.48,3.05,4.67,2.45,2.9
e_0,0.45,1.16,1.08,1.05,1.32,1.02,2.17,2.27,2.19,2.08,2.94,1.99,2.81,2.5,4.91,2.91
g_0,1.09,0.71,0.89,1.65,1.14,0.89,2.05,1.8,1.31,2.13,1.87,3.91,3.18,2.29,2.54,1.77
