,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,96.64,8.41,13.29,17.13,24.74,84.08,1734.63,3767.21,6995.12,7843.37,9726.83,8848.6,17801.8,30458.9,,48216.05
f_1,17.35,106.63,17.97,19.81,23.6,104.13,1454.19,2998.98,3261.21,7086.38,,11478.86,13511.0,26845.8,22535.58,45617.36
c_1,11.42,10.26,133.08,16.81,23.6,88.3,1644.09,2945.38,2889.64,,9773.63,8634.23,19671.21,26988.68,21924.03,43637.26
d_1,10.45,9.62,11.89,147.95,17.13,80.66,1575.92,2982.43,,8753.92,11246.56,9271.73,18841.72,21013.41,29912.24,36832.69
b_1,8.54,9.69,13.29,15.71,162.94,117.47,1662.51,2448.47,3260.01,7788.36,8796.24,,,21501.09,21953.24,53224.54
a_1,5.51,6.78,9.37,7.77,9.55,587.99,1032.86,,1853.39,5086.93,3411.83,4436.54,,13823.38,,
h_1,5.87,7.48,6.54,7.64,8.73,41.75,2794.05,1948.41,2001.01,4639.51,3229.02,4021.83,7265.47,,15104.83,25112.92
g_1,3.0,4.68,5.9,10.07,6.94,,551.55,4697.5,1258.56,3763.29,4682.79,3513.4,6880.07,9439.7,13153.32,
d_0,4.22,6.11,11.09,,10.12,38.42,646.93,1081.03,4055.43,3808.21,3181.06,3675.99,6787.59,12259.29,13060.36,26774.95
c_0,3.73,4.4,,6.48,6.2,24.9,482.92,1007.39,1137.93,7453.67,3474.43,5795.57,5459.72,9602.9,9471.1,19484.5
f_0,3.85,,4.62,4.37,5.75,39.57,737.8,905.17,1443.05,2564.62,8226.96,3037.81,6947.32,9903.31,13650.1,14004.48
b_0,3.56,3.38,5.74,6.59,,29.92,644.17,1239.28,841.69,1993.12,2968.2,8744.63,8256.67,6849.97,11210.62,17080.53
a_0,2.56,3.78,3.42,4.57,,,412.78,652.49,789.2,2856.79,2431.98,1633.42,14981.84,7710.84,,15246.87
h_0,3.06,5.07,4.87,6.1,5.31,26.71,,1063.35,1153.88,2514.4,1849.77,2774.12,6660.6,,6594.23,17170.86
e_0,,3.38,3.82,3.69,5.84,,374.2,702.95,738.73,2028.78,1711.65,1747.88,,6103.09,22604.63,9884.92
g_0,2.34,3.24,4.42,6.19,3.85,,443.94,,784.91,1305.64,3092.23,2586.15,3776.69,5521.12,6493.71,
