,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.65,1.12,1.48,1.27,1.17,1.12,0.49,0.62,0.52,0.46,0.65,0.44,0.29,0.44,0.45,0.43
d_1,1.53,0.65,1.52,1.24,1.29,0.98,0.6,0.44,0.62,0.53,0.44,0.44,0.36,0.28,0.41,0.37
e_1,0.84,1.28,0.65,1.47,1.4,1.4,0.66,0.62,0.62,0.51,0.58,0.57,0.43,0.4,0.49,0.79
c_1,1.35,1.63,1.19,0.64,1.5,1.02,0.5,0.53,0.32,0.58,0.48,0.37,0.44,0.38,0.43,0.44
b_1,1.65,1.45,1.34,0.86,0.63,1.81,0.72,0.73,0.52,0.59,0.49,0.77,0.4,0.46,0.46,0.48
a_1,1.84,2.11,1.43,2.2,0.93,0.57,0.85,0.71,0.67,0.54,0.58,0.67,0.52,0.49,0.77,0.55
h_1,2.07,2.08,1.88,2.04,1.73,1.95,0.57,0.99,0.67,0.68,0.66,0.68,0.75,0.58,0.56,0.59
g_1,2.41,2.23,2.06,2.38,2.09,1.77,0.83,0.55,0.74,0.72,0.74,0.86,0.52,0.71,0.69,0.66
d_0,2.08,3.1,1.42,2.7,2.35,2.05,1.04,1.2,0.62,0.7,0.78,0.72,0.69,0.68,0.71,0.77
c_0,2.71,1.48,2.18,3.6,2.21,2.08,1.13,0.99,1.15,0.59,0.79,0.97,0.71,0.69,0.79,0.85
f_0,3.23,2.15,2.14,2.44,2.17,1.91,1.09,0.81,1.08,0.72,0.59,0.83,0.63,0.46,0.72,0.87
b_0,2.71,1.99,1.96,2.94,3.26,1.87,1.12,0.93,0.91,0.53,0.81,0.59,0.72,0.65,0.96,0.72
h_0,2.89,2.34,2.28,2.36,2.73,2.21,1.75,1.16,0.99,0.81,0.92,0.81,0.97,0.87,0.79,0.74
g_0,2.72,2.81,2.76,2.77,2.34,2.52,0.96,1.48,0.94,0.93,1.06,0.93,0.64,1.01,0.88,0.8
a_0,2.5,2.56,2.54,2.91,3.38,4.07,1.34,1.38,0.94,0.8,1.01,0.57,0.84,0.71,0.55,0.8
e_0,3.95,2.66,3.11,2.66,2.61,2.36,1.13,1.14,1.01,0.82,0.63,0.9,0.94,0.79,1.36,0.55
