,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.98,0.83,1.27,1.53,3.11,19.64,21.7,39.25,25.05,32.94,44.57,90.61,83.15,112.19,140.73
d_1,1.02,1.0,1.09,1.12,1.28,2.36,22.99,15.71,30.34,33.31,31.29,35.2,56.89,87.11,91.38,101.47
f_1,1.2,0.92,1.0,1.11,1.33,3.25,13.49,19.65,21.83,24.25,27.04,42.62,62.55,90.91,85.96,130.95
c_1,0.79,0.89,0.9,1.0,1.6,1.94,15.36,16.05,16.38,19.54,20.3,28.53,63.38,63.83,79.69,85.27
b_1,0.65,0.78,0.75,0.62,1.0,3.2,16.25,17.19,20.31,21.91,18.85,28.38,55.82,43.58,74.0,93.51
a_1,0.32,0.42,0.31,0.51,0.31,1.0,5.5,8.79,9.74,10.37,11.84,15.06,33.5,24.08,39.21,50.42
h_1,0.05,0.04,0.07,0.07,0.06,0.18,1.0,1.2,1.43,1.48,1.83,2.19,4.14,3.92,4.82,7.39
g_1,0.05,0.06,0.05,0.06,0.06,0.11,0.84,1.0,1.09,1.23,1.43,2.55,3.4,3.53,5.11,5.15
d_0,0.02,0.04,0.04,0.06,0.05,0.1,0.68,0.93,1.0,1.02,1.25,1.52,3.11,2.96,4.0,4.5
c_0,0.04,0.03,0.04,0.05,0.05,0.1,0.68,0.87,1.01,1.0,1.59,1.64,2.99,3.49,3.92,4.0
b_0,0.03,0.03,0.04,0.05,0.06,0.08,0.54,0.71,0.8,0.58,1.0,1.32,2.4,3.0,3.0,3.72
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.49,0.38,0.69,0.64,0.75,1.0,2.04,1.84,3.58,2.44
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.25,0.3,0.32,0.33,0.39,0.48,1.0,1.0,1.17,1.84
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.29,0.31,0.26,0.34,0.57,1.08,1.0,1.18,1.58
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.19,0.27,0.26,0.35,0.26,0.82,0.88,1.0,1.51
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,,0.23,0.24,0.28,0.4,0.55,0.65,0.65,1.0
