,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,5.83,1.45,1.69,1.01,1.15,1.12,4.59,11.49,5.11,5.99,6.96,6.09,8.95,7.57,9.79,3.19
f_1,2.25,6.13,1.22,1.22,1.17,1.3,4.29,4.77,3.33,5.88,2.22,5.48,7.94,5.06,7.34,4.71
c_1,1.23,1.18,6.58,1.29,2.32,1.2,4.1,5.8,4.26,1.9,6.61,4.58,10.0,5.85,9.34,6.58
d_1,1.14,1.58,1.0,6.74,1.18,1.13,5.15,2.89,5.24,11.76,6.58,7.55,10.67,5.63,11.4,6.57
b_1,1.2,1.13,1.2,1.25,7.38,2.93,4.6,4.69,5.06,5.12,7.07,2.88,9.7,5.28,7.52,6.09
a_1,1.1,1.29,1.38,1.68,1.4,10.01,4.35,5.36,5.12,5.55,7.39,6.47,8.81,2.59,8.37,8.9
h_1,1.28,2.05,1.71,1.82,1.42,1.45,15.32,6.36,7.96,6.89,7.61,7.0,5.63,8.36,13.36,8.47
d_0,1.69,1.52,3.42,0.62,1.61,1.19,5.72,14.07,4.97,4.8,7.05,7.02,11.22,8.36,10.54,8.96
g_1,1.37,1.46,1.67,2.44,1.31,1.47,6.03,6.58,19.24,6.57,11.12,6.31,11.15,7.79,5.6,6.3
c_0,1.77,1.71,0.87,1.88,1.39,1.22,6.93,7.46,6.46,16.3,8.86,15.2,11.43,8.86,12.8,8.99
f_0,1.44,1.13,1.83,1.82,1.7,1.27,7.26,7.34,6.61,7.66,17.1,8.75,12.23,8.75,13.02,18.43
b_0,1.66,1.93,1.52,1.52,0.91,0.95,7.21,9.11,6.04,8.23,8.11,20.1,12.07,18.48,11.05,9.32
h_0,1.46,2.35,1.36,1.8,1.61,1.4,4.14,6.46,7.8,8.09,6.62,7.84,6.74,8.09,15.89,8.39
a_0,1.83,1.8,1.9,1.48,1.52,0.73,6.31,8.45,4.65,6.67,8.18,9.36,11.24,25.46,12.18,9.89
g_0,1.51,1.37,1.42,2.68,1.7,1.24,6.13,6.9,3.56,8.64,12.65,8.23,10.59,8.18,9.35,9.98
e_0,0.9,1.57,1.88,1.92,1.86,1.08,7.13,7.46,6.84,8.76,7.14,8.23,13.36,9.89,12.89,26.16
