,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.88,0.08,0.09,0.09,0.06,0.05,0.08,0.14,0.05,0.07,0.07,0.07,0.08,0.03,0.07,0.01
f_1,0.16,0.88,0.09,0.07,0.06,0.03,0.07,0.08,0.06,0.08,0.07,0.02,0.09,0.04,0.05,0.03
d_1,0.1,0.1,0.88,0.06,0.06,0.04,0.07,0.02,0.08,0.15,0.07,0.07,0.07,0.05,0.06,0.04
c_1,0.08,0.09,0.07,0.87,0.15,0.04,0.08,0.09,0.05,0.02,0.07,0.06,0.08,0.04,0.06,0.04
b_1,0.08,0.08,0.08,0.08,0.87,0.11,0.06,0.09,0.05,0.07,0.02,0.07,0.06,0.04,0.04,0.06
a_1,0.09,0.11,0.07,0.1,0.06,0.87,0.07,0.09,0.05,0.07,0.05,0.06,0.07,0.01,0.07,0.05
h_1,0.13,0.21,0.14,0.12,0.09,0.11,0.53,0.13,0.13,0.14,0.13,0.11,0.05,0.07,0.16,0.11
d_0,0.16,0.18,0.04,0.29,0.1,0.08,0.14,0.36,0.09,0.09,0.12,0.14,0.15,0.08,0.11,0.08
g_1,0.15,0.14,0.24,0.12,0.11,0.05,0.11,0.12,0.53,0.12,0.13,0.16,0.14,0.08,0.04,0.08
c_0,0.15,0.18,0.17,0.06,0.08,0.1,0.17,0.11,0.11,0.4,0.24,0.17,0.17,0.09,0.15,0.09
b_0,0.17,0.16,0.18,0.13,0.04,0.09,0.13,0.15,0.1,0.13,0.4,0.14,0.16,0.16,0.12,0.09
f_0,0.14,0.08,0.15,0.18,0.11,0.11,0.13,0.15,0.13,0.13,0.14,0.4,0.15,0.12,0.14,0.18
h_0,0.16,0.21,0.17,0.15,0.12,0.07,0.05,0.12,0.15,0.11,0.16,0.12,0.06,0.08,0.12,0.07
a_0,0.16,0.19,0.17,0.15,0.11,,0.12,0.14,0.12,0.13,0.18,0.13,0.18,0.36,0.12,0.09
g_0,0.15,0.12,0.25,0.13,0.12,0.08,0.11,0.12,0.05,0.09,0.11,0.21,0.12,0.08,0.06,0.1
e_0,0.04,0.16,0.17,0.22,0.11,0.11,0.09,0.1,0.09,0.12,0.13,0.16,0.11,0.09,0.11,0.35
