,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.13,3.13,5.28,4.94,4.97,5.03,1.65,1.49,1.07,1.04,1.05,1.27,1.1,0.88,2.1,1.03
f_1,5.01,1.13,4.32,5.58,5.0,4.6,1.01,1.58,1.01,1.16,0.97,2.42,0.96,0.52,0.74,0.76
d_1,5.63,5.07,1.12,5.29,4.72,5.79,1.4,1.02,1.0,2.9,1.1,1.0,0.89,0.67,1.25,0.53
c_1,4.81,6.03,8.92,1.13,7.4,5.6,1.8,1.66,2.42,0.62,1.22,1.09,1.26,0.94,1.31,0.86
b_1,7.16,7.03,6.57,3.74,1.14,7.54,2.71,2.51,1.57,1.71,3.28,1.43,1.74,1.05,1.64,0.97
a_1,10.93,10.87,10.03,10.7,4.82,1.14,3.17,3.42,2.89,2.82,2.83,2.07,5.9,1.99,1.84,2.05
h_1,16.9,17.11,15.17,16.75,15.66,14.55,1.76,5.14,3.42,4.12,2.93,2.76,3.24,3.85,2.89,2.08
g_1,18.52,22.33,17.74,23.53,20.88,17.54,3.95,1.8,3.81,3.94,3.66,4.15,3.7,2.29,4.73,3.7
c_0,25.59,28.39,11.56,68.95,24.94,17.71,6.23,5.97,2.26,7.33,5.52,4.21,4.09,3.34,4.8,2.81
d_0,12.04,25.26,49.99,24.11,27.48,24.38,7.39,6.52,5.61,2.34,6.24,4.9,5.52,3.36,5.46,4.42
b_0,21.55,26.93,22.9,29.36,67.32,24.7,7.9,7.39,3.0,4.91,2.39,3.72,4.89,3.78,4.86,2.97
f_0,23.32,60.03,28.39,30.26,29.92,25.71,7.16,5.79,4.86,5.6,5.98,2.54,5.38,5.03,9.1,2.52
a_0,31.5,36.26,30.33,38.01,54.96,58.66,10.18,11.58,6.63,7.78,3.09,5.53,2.61,3.89,6.7,3.53
h_0,35.43,41.61,32.56,43.6,34.09,28.88,21.3,9.82,6.98,6.72,5.92,5.91,5.74,9.68,6.23,4.89
e_0,64.65,63.14,34.46,42.36,39.6,46.92,11.9,8.62,7.21,10.63,7.36,3.52,7.59,4.62,2.48,6.24
g_0,55.0,50.16,41.27,42.97,47.25,43.65,11.04,18.93,8.86,9.11,8.32,7.91,10.37,5.36,7.24,10.26
