,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.52,0.38,0.45,0.56,0.41,0.4,0.57,0.5,0.56,0.88,0.64,0.55,0.57,0.41,0.23,0.43
d_1,0.53,1.52,0.45,0.4,0.45,0.39,0.53,0.42,0.93,0.26,0.56,0.51,0.61,0.43,0.52,0.48
f_1,0.72,0.52,1.52,0.39,0.41,0.33,0.55,0.53,0.51,0.58,0.16,0.5,0.49,0.52,0.34,0.56
c_1,0.36,0.46,0.52,1.56,0.77,0.35,0.51,0.51,0.21,0.49,0.56,0.31,0.64,0.47,0.47,0.59
b_1,0.5,0.4,0.48,0.38,1.58,0.71,0.61,0.5,0.47,0.55,0.54,0.21,0.72,0.48,0.54,0.55
a_1,0.48,0.51,0.51,0.61,0.41,1.71,0.51,0.63,0.56,0.62,0.53,0.75,0.58,0.21,0.54,0.66
h_1,0.65,0.82,0.93,0.79,0.62,0.5,1.65,0.89,0.79,0.72,0.79,0.95,0.45,0.66,0.64,1.07
g_1,0.71,1.22,0.68,0.5,0.7,0.54,0.83,1.74,0.86,0.81,1.12,0.89,0.63,0.65,0.74,0.6
c_0,0.74,0.73,0.9,0.59,0.73,0.66,1.03,0.92,1.55,0.86,0.85,1.43,0.79,0.99,0.84,1.02
d_0,0.74,0.34,0.79,1.31,0.76,0.45,1.0,0.67,0.61,1.52,0.84,0.89,0.9,0.69,0.68,0.82
f_0,0.67,0.92,0.61,0.73,0.81,0.6,1.01,0.82,1.04,0.88,1.61,1.0,1.11,0.76,1.54,0.96
b_0,0.7,1.09,0.93,0.97,0.37,0.43,0.91,0.8,0.79,0.77,0.87,1.62,1.23,1.45,0.7,0.79
h_0,0.71,0.8,1.1,0.81,0.66,0.68,0.66,1.35,1.03,1.03,0.84,0.8,0.66,0.9,0.71,1.3
a_0,0.89,0.95,0.94,0.82,0.68,,1.07,0.89,0.86,0.96,0.99,0.73,1.26,1.69,0.92,1.17
e_0,0.49,1.0,1.14,0.81,0.63,0.77,1.1,0.93,0.89,0.99,0.69,1.02,1.21,0.72,1.7,0.96
g_0,0.79,1.26,0.7,0.89,0.7,0.62,0.88,0.52,0.84,0.81,1.08,1.07,0.89,0.8,0.92,0.63
