,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.5,0.7,0.82,0.65,0.8,0.59,0.89,0.82,1.5,0.75,0.88,0.73,0.7,0.98,0.65,0.9
f_1,1.1,1.52,0.77,0.7,0.67,0.49,0.75,0.78,0.81,0.68,0.57,0.77,0.73,0.8,0.49,0.78
c_1,0.8,0.73,1.55,0.7,1.07,0.54,0.9,0.77,0.69,0.57,0.83,0.69,0.75,0.97,0.75,0.77
d_1,0.81,0.82,0.64,1.57,0.65,0.61,0.86,0.79,0.61,1.32,0.89,0.96,0.94,0.93,0.75,0.78
b_1,0.68,0.77,0.71,0.82,1.58,0.99,0.9,0.76,0.98,0.88,0.83,0.73,0.62,0.93,0.75,1.02
a_1,0.76,0.98,0.9,0.82,0.69,1.78,1.07,0.83,0.99,1.0,0.87,0.91,0.51,1.0,0.94,0.82
h_1,1.05,1.29,0.93,0.96,0.88,0.75,1.75,1.32,1.12,0.96,1.0,0.99,0.84,0.94,0.93,1.26
g_1,1.01,0.9,1.02,1.45,0.88,0.8,1.02,1.81,0.95,1.1,1.43,1.06,0.95,1.12,0.97,0.86
d_0,0.82,1.16,1.74,0.71,0.91,0.74,1.2,1.13,1.61,0.84,1.07,1.03,0.97,1.12,0.86,1.19
c_0,1.12,1.32,0.86,0.93,0.88,0.72,1.32,1.28,1.24,1.7,1.17,1.98,1.14,1.22,0.97,1.28
f_0,1.03,0.97,1.12,1.01,0.99,0.84,1.3,1.06,1.36,1.12,1.72,1.3,1.23,1.41,1.84,1.01
b_0,1.22,1.22,1.19,1.15,0.62,0.61,1.3,1.4,1.13,1.08,1.13,1.79,1.88,1.29,0.97,1.17
a_0,1.22,1.18,1.07,0.98,1.03,0.71,1.44,1.36,1.2,1.21,1.36,0.97,1.82,1.36,1.19,1.07
h_0,1.02,1.52,1.06,1.1,0.94,0.75,1.06,1.38,1.41,1.27,0.97,1.09,1.21,1.06,0.99,1.42
e_0,0.72,1.51,1.06,1.2,1.04,0.92,1.46,1.14,1.19,1.36,0.96,1.27,0.94,1.45,1.81,1.18
g_0,1.04,1.17,1.23,1.51,0.96,0.8,1.24,1.08,1.17,1.11,1.68,1.25,1.09,1.24,1.23,1.05
