,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,17.88,0.63,0.45,0.42,0.55,0.54,0.85,1.01,2.27,1.21,0.39,1.08,0.98,0.96,1.07,1.17
f_1,0.49,16.35,1.33,0.48,0.48,0.63,0.88,0.68,0.67,0.89,0.8,0.31,0.74,0.88,0.71,0.77
e_1,0.48,0.63,16.28,0.77,0.56,0.49,0.85,0.72,0.78,0.83,2.28,0.89,0.92,0.83,0.38,0.74
c_1,0.56,0.47,0.47,18.29,1.44,0.49,0.8,0.94,0.32,0.61,0.96,1.14,0.85,0.87,0.88,0.88
b_1,0.56,0.63,0.51,0.49,19.51,1.35,0.84,0.72,0.85,0.4,0.61,0.88,0.89,0.86,0.86,1.01
a_1,0.62,0.57,0.63,0.64,0.36,27.34,1.02,0.9,0.95,1.23,1.03,0.72,1.34,0.6,1.31,0.92
h_1,0.9,1.16,0.58,0.7,0.56,0.62,4.83,1.59,1.05,1.15,0.79,1.02,0.63,1.17,1.11,1.97
g_1,1.58,0.58,0.57,0.61,0.57,0.65,1.02,6.14,1.25,1.03,0.81,2.35,1.46,1.13,1.31,0.68
c_0,0.87,0.83,0.68,0.45,0.5,0.76,1.27,1.1,3.27,3.78,1.21,1.47,1.44,1.65,1.25,1.27
b_0,0.75,0.86,0.69,0.91,0.41,0.5,1.35,1.32,1.12,3.04,1.23,1.33,1.56,2.6,1.39,1.17
d_0,0.33,0.58,0.74,2.79,0.74,0.54,1.28,1.04,0.79,1.03,2.92,1.39,1.21,1.19,1.17,1.13
f_0,0.8,0.52,0.5,1.03,0.79,0.65,1.14,1.32,1.22,1.28,1.19,3.65,1.64,1.0,3.6,1.36
h_0,0.97,0.91,0.59,0.83,0.64,0.52,0.83,1.96,1.06,1.27,1.1,1.47,0.76,1.15,1.58,1.68
a_0,0.99,0.81,0.56,0.85,0.75,0.36,1.42,1.34,1.16,1.56,1.15,1.46,1.55,4.39,1.19,1.64
e_0,0.9,0.85,0.28,0.97,0.82,0.66,1.12,1.4,1.23,1.63,0.92,1.31,1.74,1.71,4.75,1.56
g_0,1.4,0.59,0.55,0.8,0.87,0.63,1.26,0.79,1.23,1.17,0.81,2.42,1.11,0.99,1.36,0.81
