,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.96,0.66,0.67,0.55,0.52,0.41,0.4,0.35,0.34,0.56,0.39,0.41,0.37,0.3,0.3,0.31
e_1,0.56,0.95,0.6,0.72,0.57,0.47,0.43,0.61,0.37,0.35,0.37,0.36,0.39,0.27,0.24,0.31
f_1,0.63,0.89,0.96,0.62,0.48,0.41,0.37,0.42,0.36,0.35,0.3,0.34,0.33,0.27,0.19,0.28
c_1,0.68,0.62,0.62,0.96,0.79,0.42,0.41,0.36,0.33,0.29,0.34,0.28,0.37,0.26,0.26,0.36
b_1,0.7,0.66,0.64,0.6,0.95,0.72,0.48,0.38,0.34,0.43,0.38,0.38,0.36,0.26,0.3,0.38
a_1,0.77,0.68,0.75,0.68,0.55,0.95,0.51,0.5,0.48,0.5,0.45,0.47,0.47,0.29,0.37,0.37
h_1,1.01,0.94,1.18,0.95,0.69,0.55,0.8,0.6,0.64,0.53,0.51,0.51,0.47,0.45,0.39,0.54
d_0,0.89,0.89,0.95,1.37,0.97,0.65,0.65,0.73,0.51,0.46,0.56,0.49,0.54,0.39,0.44,0.52
g_1,1.32,0.91,0.92,0.95,0.81,0.61,0.57,0.64,0.8,0.61,0.72,0.57,0.54,0.52,0.53,0.48
c_0,0.99,1.07,1.11,0.98,0.66,0.6,0.72,0.72,0.54,0.75,0.6,0.91,0.62,0.57,0.5,0.56
f_0,1.09,0.92,1.03,1.05,0.94,0.75,0.67,0.67,0.57,0.61,0.73,0.56,0.61,0.47,0.74,0.48
b_0,1.07,1.04,1.16,1.19,0.67,0.61,0.67,0.72,0.57,0.54,0.61,0.73,0.62,0.78,0.55,0.55
h_0,1.24,1.13,1.34,1.02,0.83,0.67,0.61,0.72,0.67,0.61,0.59,0.59,0.58,0.49,0.48,0.65
a_0,1.2,1.16,1.27,1.14,0.92,0.58,0.79,0.77,0.62,0.7,0.68,0.5,0.67,0.7,0.57,0.61
e_0,1.3,0.9,1.41,1.1,0.95,0.71,0.79,0.68,0.59,0.68,0.56,0.61,0.69,0.55,0.69,0.62
g_0,1.54,1.04,1.14,1.04,0.89,0.76,0.67,0.65,0.58,0.68,0.86,0.66,0.61,0.53,0.52,0.58
