,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.88,0.09,0.07,0.1,0.07,0.04,0.08,0.07,0.07,0.13,0.08,0.06,0.07,0.05,0.01,0.06
f_1,0.16,0.88,0.08,0.09,0.06,0.03,0.08,0.04,0.06,0.07,0.08,0.01,0.07,0.05,0.05,0.06
d_1,0.07,0.09,0.88,0.05,0.08,0.05,0.07,0.08,0.15,0.02,0.08,0.06,0.1,0.06,0.05,0.05
c_1,0.08,0.09,0.09,0.88,0.13,0.04,0.06,0.05,0.02,0.08,0.05,0.07,0.07,0.05,0.05,0.07
b_1,0.08,0.09,0.1,0.07,0.87,0.1,0.09,0.06,0.07,0.07,0.02,0.08,0.08,0.02,0.05,0.06
a_1,0.1,0.1,0.07,0.06,0.06,0.87,0.1,0.07,0.1,0.08,0.07,0.05,0.09,,0.05,0.08
h_1,0.16,0.22,0.14,0.12,0.09,0.1,0.52,0.16,0.15,0.12,0.13,0.09,0.03,0.08,0.07,0.12
g_1,0.12,0.13,0.25,0.15,0.1,0.09,0.12,0.52,0.13,0.12,0.12,0.16,0.13,0.06,0.07,0.04
c_0,0.19,0.16,0.18,0.05,0.09,0.11,0.13,0.11,0.39,0.14,0.3,0.12,0.12,0.1,0.09,0.11
d_0,0.18,0.18,0.04,0.24,0.11,0.07,0.15,0.09,0.13,0.39,0.18,0.14,0.12,0.09,0.09,0.11
b_0,0.17,0.18,0.17,0.13,0.05,0.08,0.16,0.13,0.17,0.13,0.39,0.14,0.12,0.2,0.08,0.12
f_0,0.13,0.07,0.19,0.16,0.13,0.12,0.16,0.15,0.15,0.13,0.18,0.33,0.13,0.08,0.15,0.1
h_0,0.15,0.22,0.19,0.13,0.09,0.08,0.06,0.14,0.13,0.11,0.13,0.1,0.04,0.05,0.08,0.14
a_0,0.15,0.17,0.17,0.12,0.16,,0.12,0.11,0.13,0.15,0.14,0.15,0.13,0.35,0.07,0.1
e_0,0.06,0.19,0.15,0.18,0.13,0.09,0.17,0.1,0.14,0.2,0.15,0.13,0.12,0.08,0.34,0.12
g_0,0.15,0.11,0.23,0.16,0.11,0.08,0.11,0.06,0.16,0.13,0.17,0.21,0.1,0.09,0.06,0.03
