,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10501.92,4793.27,6453.03,13121.67,18539.01,53943.81,8179882.11,10301342.41,33754692.82,23172810.35,51890637.13,40561310.24,231590059.35,194570016.47,330796421.27,697954963.24
d_1,4729.56,13199.41,6997.17,8092.57,16474.59,59977.5,8856786.72,11021394.82,13843054.36,40724138.34,46890369.17,57319434.04,230280858.21,224384591.43,372837077.17,666059701.16
f_1,7799.7,5508.0,15140.94,10951.36,15013.36,47426.08,8414093.79,8606481.25,20016253.51,22732824.39,27935313.95,44962949.42,177699783.99,145223271.52,308650716.8,628078356.52
c_1,4531.64,5598.45,6198.7,26045.64,30792.63,65318.05,7623956.99,10017994.05,18826529.19,16053923.2,43329322.09,31601084.53,230890312.81,206370038.38,246935144.25,542586878.86
b_1,4056.25,6037.1,7008.2,10300.02,48028.21,118399.99,8807895.77,9791722.24,18172967.48,24955486.57,42447136.93,35390168.76,224559383.04,227640700.23,231228959.23,672406887.4
a_1,4691.72,6296.0,7942.3,11152.8,15578.15,213416.67,9219633.41,10027778.95,19089831.01,25663778.1,40393844.34,49354450.65,246324110.74,223308578.57,246432363.07,667750659.12
h_1,5238.32,6897.36,8798.5,11502.59,18129.25,59175.82,16249854.46,12660385.07,18999240.24,23775867.98,47766195.03,43995179.64,198571229.89,248904142.7,339748715.01,972413945.02
g_1,4745.89,9111.27,6180.64,10715.5,17516.72,61487.38,9323382.9,19092112.78,17648670.35,27212223.9,69970012.25,47766195.03,237638380.91,277012763.67,308892630.54,605621337.89
d_0,5036.34,5101.76,6418.93,19505.99,21572.57,66331.84,8934550.93,9992286.72,29728376.77,17858009.19,48045938.49,35247675.4,231102878.76,241195891.61,278299161.47,733108185.4
c_0,5615.6,6747.4,7895.88,10126.84,14318.58,57232.4,9575374.28,11505082.6,19602207.34,40142511.99,51320888.62,85534814.36,275308022.43,248108571.21,493442926.43,706395348.84
f_0,4263.69,7352.08,6169.62,12617.69,18270.56,68365.67,9210817.67,12802780.21,23683261.47,24284442.7,77651996.2,49298800.22,262676447.06,448023671.92,341447063.62,846006016.04
b_0,4852.48,6819.69,8079.26,11745.74,14559.35,45719.54,9254678.7,10730961.0,22059812.09,29370189.86,50575971.21,79440035.59,268171770.22,234918779.28,661882000.24,765635444.52
h_0,4757.22,6788.77,9007.9,11811.97,17837.23,65790.74,7105801.96,13443052.34,20457786.87,24683777.02,46170188.52,52668215.05,170698639.6,260613271.06,337598183.55,855203050.42
e_0,3727.68,7351.35,7534.49,12331.93,19551.13,71600.83,9075475.04,12307972.1,20594614.93,25566777.52,46897718.76,51736372.28,280261481.17,430332849.56,355930422.58,788961038.96
a_0,4821.4,7111.23,7163.92,12834.08,21080.73,40178.18,9576783.19,11006539.52,20394582.77,24518863.86,51701478.15,55772460.68,264496772.85,256732665.93,678133567.21,835959694.6
g_0,4627.25,8933.49,6695.69,11869.48,17516.72,57679.53,9457947.19,9872019.29,18081167.41,24964661.38,66275595.61,43885191.69,275532068.67,302998031.77,313113523.63,571014404.3
