,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,1.1,2.07,1.89,2.03,1.89,0.68,0.41,0.77,0.46,0.47,0.55,0.27,0.44,1.12,0.33
f_1,1.78,0.44,1.91,2.05,1.88,2.02,0.4,0.43,0.63,0.37,0.38,0.99,0.21,0.39,0.36,0.29
d_1,2.01,2.14,0.43,2.14,2.04,2.1,0.58,0.42,0.41,0.95,0.35,0.37,0.29,0.37,0.47,0.19
c_1,1.83,2.5,2.49,0.4,2.23,2.01,0.64,1.18,0.74,0.24,0.51,0.4,0.32,0.45,0.46,0.33
b_1,2.45,2.78,2.47,1.29,0.37,2.63,0.77,0.55,0.54,0.53,0.79,0.47,0.33,0.51,0.54,0.39
a_1,3.05,2.67,2.33,3.54,1.32,0.34,0.88,0.63,0.64,0.69,0.83,0.56,0.6,3.08,0.5,0.58
h_1,3.13,3.73,3.03,3.55,3.28,3.08,0.33,0.6,1.14,0.76,0.71,0.68,0.88,0.66,0.52,0.55
c_0,3.8,4.1,2.01,7.42,4.61,3.66,1.12,0.38,1.03,0.81,0.69,0.72,0.57,0.7,0.65,0.5
g_1,4.09,5.18,3.52,3.57,4.48,2.94,0.72,0.73,0.3,0.81,0.7,0.79,0.41,0.8,0.6,0.9
d_0,2.05,3.88,6.79,4.04,4.16,5.04,1.11,0.8,1.42,0.41,0.9,0.64,0.57,0.72,0.89,0.59
b_0,3.97,3.89,3.65,3.95,9.74,3.56,1.02,0.43,1.04,0.78,0.37,0.75,0.51,0.96,0.71,0.52
f_0,4.09,9.5,3.91,4.21,3.86,3.07,1.0,0.73,0.71,0.82,0.76,0.35,0.65,0.85,0.72,0.42
h_0,4.14,4.49,4.43,4.32,4.47,3.71,2.22,0.81,1.62,0.84,1.0,0.86,1.19,0.76,0.71,0.68
a_0,4.31,5.0,4.16,5.73,7.01,6.57,1.44,0.68,1.2,1.02,0.45,0.81,0.73,0.32,0.67,0.61
e_0,8.13,6.9,4.07,5.31,4.52,3.37,1.1,0.88,1.3,0.92,0.87,0.46,0.69,0.77,0.31,0.57
g_0,4.69,5.76,4.69,4.57,4.94,4.73,1.04,0.95,2.92,0.82,1.02,0.97,0.57,1.03,0.93,1.02
