,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.94,0.36,0.37,0.56,0.36,0.28,0.33,0.48,0.24,0.24,0.28,0.29,0.23,0.17,0.17,0.21
f_1,0.78,0.94,0.37,0.31,0.31,0.23,0.24,0.26,0.24,0.3,0.16,0.2,0.23,0.13,0.22,0.19
d_1,0.4,0.5,0.95,0.37,0.38,0.27,0.29,0.19,0.25,0.44,0.25,0.25,0.23,0.19,0.16,0.19
c_1,0.33,0.43,0.42,0.94,0.65,0.28,0.3,0.24,0.22,0.13,0.26,0.18,0.26,0.17,0.15,0.23
b_1,0.44,0.45,0.45,0.38,0.94,0.54,0.29,0.3,0.23,0.28,0.26,0.18,0.27,0.2,0.15,0.24
a_1,0.47,0.64,0.52,0.49,0.31,0.93,0.3,0.36,0.31,0.24,0.26,0.29,0.33,0.26,0.18,0.25
h_1,0.57,0.88,0.69,0.67,0.54,0.38,0.74,0.4,0.52,0.39,0.37,0.37,0.27,0.28,0.31,0.45
d_0,0.58,0.68,0.52,1.11,0.62,0.44,0.5,0.65,0.44,0.32,0.44,0.43,0.39,0.31,0.34,0.36
g_1,0.65,0.65,0.88,0.74,0.63,0.45,0.42,0.37,0.75,0.41,0.57,0.33,0.35,0.29,0.28,0.26
c_0,0.86,0.74,0.7,0.52,0.44,0.52,0.54,0.56,0.42,0.67,0.44,0.65,0.4,0.29,0.35,0.39
f_0,0.6,0.58,0.77,0.86,0.68,0.54,0.51,0.51,0.45,0.42,0.66,0.42,0.4,0.57,0.36,0.33
b_0,0.7,0.94,0.67,0.89,0.36,0.33,0.55,0.49,0.54,0.39,0.41,0.66,0.42,0.38,0.63,0.41
h_0,0.79,1.02,0.78,0.76,0.6,0.51,0.47,0.57,0.6,0.5,0.46,0.43,0.36,0.31,0.31,0.47
e_0,0.56,1.05,0.75,0.87,0.63,0.48,0.63,0.56,0.55,0.56,0.37,0.44,0.59,0.63,0.47,0.46
a_0,1.0,0.78,0.85,0.92,0.71,0.34,0.63,0.55,0.53,0.59,0.43,0.4,0.46,0.29,0.59,0.4
g_0,0.75,0.8,1.24,0.74,0.7,0.54,0.49,0.5,0.43,0.6,0.71,0.43,0.46,0.35,0.42,0.33
