,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,0.91,1.1,0.96,0.84,0.73,0.69,0.86,0.61,0.7,0.63,0.62,0.61,0.6,0.56
f_1,1.22,1.0,0.94,0.95,0.89,0.72,0.64,0.64,0.65,0.57,0.57,0.61,0.51,0.51,0.45,0.63
d_1,1.09,1.08,1.0,0.9,0.93,0.83,0.66,0.59,0.67,0.83,0.64,0.67,0.59,0.58,0.57,0.46
c_1,0.92,1.07,1.11,1.0,1.29,0.85,0.73,0.74,0.51,0.61,0.58,0.56,0.6,0.59,0.61,0.55
b_1,1.01,1.12,1.06,0.81,1.0,1.2,0.84,0.79,0.67,0.77,0.74,0.67,0.66,0.64,0.63,0.67
a_1,1.17,1.39,1.19,1.15,0.83,1.0,0.95,0.77,0.81,0.81,0.75,0.82,0.7,0.67,0.67,0.74
h_1,1.39,1.57,1.5,1.34,1.18,1.0,1.0,1.1,0.88,0.88,0.89,0.87,0.87,0.79,0.77,0.85
g_1,1.45,1.58,1.65,1.36,1.25,1.27,0.94,1.0,0.92,0.95,1.1,0.84,0.79,0.85,0.93,0.81
d_0,1.14,1.53,1.45,1.97,1.53,1.29,1.16,1.09,1.0,0.86,1.0,0.92,0.95,0.91,0.96,1.0
c_0,1.6,1.69,1.25,1.58,1.36,1.23,1.12,1.02,1.13,1.0,1.04,1.37,1.02,1.03,0.97,0.89
f_0,1.41,1.79,1.59,1.66,1.46,1.34,1.12,0.96,1.02,0.96,1.0,0.98,0.98,0.96,1.33,0.84
b_0,1.62,1.67,1.47,1.74,1.57,1.2,1.15,1.14,1.02,0.74,1.02,1.0,1.05,1.34,0.96,0.91
h_0,1.63,1.92,1.69,1.66,1.52,1.4,1.16,1.28,1.07,0.99,1.04,0.93,1.0,0.85,0.98,1.0
a_0,1.62,1.93,1.7,1.6,1.67,1.37,1.26,1.11,1.02,0.94,1.0,0.77,1.13,1.0,0.99,0.93
e_0,1.72,2.08,1.73,1.62,1.68,1.31,1.25,1.1,1.09,1.09,0.73,1.06,1.07,1.05,1.0,1.04
g_0,1.75,1.63,2.12,1.87,1.46,1.37,1.17,1.23,1.05,1.11,1.22,1.16,0.97,1.08,0.95,1.0
