,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.66,0.85,1.37,1.4,1.32,1.2,0.68,0.62,0.58,0.43,0.48,0.54,0.4,0.41,0.43,0.75
f_1,1.4,0.66,1.17,1.34,1.2,1.11,0.48,0.59,0.48,0.52,0.47,0.61,0.27,0.38,0.41,0.4
d_1,1.41,1.51,0.64,1.17,1.3,1.3,0.58,0.43,0.85,0.51,0.48,0.43,0.42,0.25,0.44,0.43
c_1,1.13,1.37,1.76,0.64,1.5,1.1,0.61,0.55,0.31,0.58,0.39,0.44,0.41,0.4,0.42,0.38
b_1,1.38,1.69,1.35,0.91,0.63,1.42,0.63,0.72,0.53,0.73,0.68,0.51,0.47,0.42,0.5,0.5
a_1,1.76,1.86,1.63,1.67,1.01,0.57,0.88,0.89,0.68,0.53,0.63,0.54,0.5,0.51,0.71,0.51
h_1,1.84,2.17,1.86,2.05,2.05,1.58,0.57,0.9,0.74,0.65,0.66,0.78,0.69,0.62,0.62,0.57
g_1,2.1,2.18,2.18,2.21,2.24,1.73,0.81,0.55,0.76,0.79,0.77,0.85,0.53,0.81,0.84,0.73
d_0,1.43,2.07,2.79,2.68,2.11,2.08,1.1,1.17,0.62,0.72,0.8,0.88,0.69,0.68,0.7,0.79
c_0,2.59,2.28,1.41,3.04,1.91,2.46,1.16,0.93,1.08,0.6,1.23,0.76,0.72,0.77,0.71,0.69
b_0,2.37,2.33,2.05,3.2,2.98,2.12,1.07,1.05,0.86,0.51,0.58,0.81,0.75,0.73,0.88,0.74
f_0,2.09,3.46,2.16,2.78,2.33,2.25,0.9,0.72,0.86,0.8,0.95,0.58,0.89,0.57,0.88,0.87
h_0,2.5,3.23,2.32,2.47,2.18,2.11,1.46,1.28,0.9,0.98,0.84,0.78,0.87,0.79,0.75,0.79
g_0,2.83,2.97,3.24,2.64,2.54,2.37,0.95,1.38,1.01,0.83,0.84,0.9,0.67,0.94,0.89,0.75
a_0,2.96,3.1,2.62,2.71,3.15,3.33,1.18,1.04,1.05,0.91,0.57,0.82,0.85,0.92,0.56,0.85
e_0,2.83,3.71,2.71,3.05,2.61,2.29,1.26,1.13,1.1,1.02,1.01,0.59,0.83,0.91,1.07,0.56
