,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.77,0.85,1.16,0.84,0.74,0.48,0.6,0.43,0.36,0.34,0.35,0.33,0.37,0.31,0.33
f_1,1.31,1.0,0.87,0.88,0.92,0.6,0.38,0.42,0.43,0.37,0.39,0.29,0.29,0.23,0.3,0.27
d_1,1.16,1.15,1.0,0.92,0.9,0.65,0.5,0.5,0.36,0.55,0.42,0.41,0.35,0.37,0.3,0.25
c_1,0.86,1.14,1.09,1.0,1.36,0.76,0.51,0.29,0.5,0.37,0.41,0.41,0.36,0.29,0.29,0.28
b_1,1.21,1.07,1.1,0.74,1.0,1.23,0.53,0.49,0.51,0.47,0.51,0.47,0.49,0.34,0.35,0.34
a_1,1.36,1.67,1.54,1.31,0.82,1.0,0.76,0.65,0.58,0.73,0.63,0.54,0.5,0.49,0.44,0.5
h_1,2.13,2.62,1.96,1.97,1.86,1.29,1.0,0.92,1.09,0.83,0.8,0.64,0.75,0.63,0.63,0.68
d_0,1.75,2.28,2.14,3.41,1.98,1.6,1.13,1.0,1.02,0.9,0.85,0.91,0.74,0.65,0.73,0.77
g_1,2.37,2.29,2.9,1.94,1.99,1.67,0.92,0.95,1.0,0.99,0.89,1.1,0.7,0.77,0.73,0.64
c_0,2.89,2.53,1.84,2.61,2.13,1.35,1.24,1.06,0.99,1.0,1.3,0.9,0.82,0.82,0.79,0.67
b_0,2.99,2.43,2.26,2.57,2.0,1.65,1.25,1.2,1.16,0.8,1.0,1.0,0.94,0.85,1.18,0.75
f_0,2.66,3.3,2.48,2.48,2.26,1.79,1.55,1.05,0.91,1.19,1.08,1.0,0.91,1.1,0.69,0.67
h_0,2.92,3.48,2.94,2.83,2.01,2.0,1.33,1.32,1.42,1.2,1.12,1.14,1.0,0.92,0.79,1.09
e_0,2.81,4.52,2.78,3.42,2.69,2.09,1.59,1.38,1.27,1.38,1.23,0.96,1.09,1.0,0.84,0.96
a_0,3.39,3.38,3.14,3.24,3.0,2.19,1.59,1.39,1.43,1.23,0.85,1.5,1.22,1.28,1.0,0.95
g_0,3.15,3.52,4.11,3.43,3.06,2.06,1.48,1.26,1.58,1.47,1.43,1.61,0.95,1.02,1.01,1.0
